"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__cbmc_citeseq__simpls__cuda__r3","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.499,0.00800000000000001,0.507,452.828125,790.75390625,791.78125,860.28125,407.453125,"rmsd",1050.86326615469,NA,0.513276068671871,1050.86326615469,2377403560.99018,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","opls","cpu","cpu",NA,"rsvd","argmax","float64",48,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.703,0.0150000000000001,0.718,452.8984375,515.1953125,469.18359375,632.4921875,179.59375,"rmsd",1051.00988213537,NA,0.513140244179811,1051.00988213537,2377795338.14437,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","opls","cpu","cpu",NA,"rsvd","argmax","float64",48,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.701,0.0149999999999999,0.716,452.79296875,515.1484375,469.13671875,632.6640625,179.87109375,"rmsd",1051.0098821432,NA,0.513140244172554,1051.0098821432,2377795338.13971,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","opls","cpu","cpu",NA,"rsvd","argmax","float64",48,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.701,0.0150000000000001,0.716,452.79296875,515.22265625,469.2109375,633.01953125,180.2265625,"rmsd",1051.00988214273,NA,0.513140244172986,1051.00988214273,2377795338.14017,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cuda__r1","selected_component_backend_panel","cbmc_citeseq","regression","opls","cuda","cuda",NA,"rsvd","argmax","float64",48,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.718,0.014,0.732,452.83984375,851.35546875,806.25390625,909.1796875,456.33984375,"rmsd",1051.00988209316,NA,0.51314024421891,1051.00988209316,2377795338.17069,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cuda__r2","selected_component_backend_panel","cbmc_citeseq","regression","opls","cuda","cuda",NA,"rsvd","argmax","float64",48,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.623,0.014,0.637,452.7578125,851.16796875,806.0703125,909.34375,456.5859375,"rmsd",1051.00988209333,NA,0.51314024421876,1051.00988209333,2377795338.17053,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cuda__r3","selected_component_backend_panel","cbmc_citeseq","regression","opls","cuda","cuda",NA,"rsvd","argmax","float64",48,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.624,0.0139999999999998,0.638,452.8046875,850.9609375,805.86328125,909.015625,456.2109375,"rmsd",1051.00988209628,NA,0.513140244216024,1051.00988209628,2377795338.16883,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.604,0.0089999999999999,0.613,452.8828125,455.91796875,455.91796875,573.51953125,120.63671875,"rmsd",1050.86326615961,NA,0.513276068667307,1050.86326615961,2377403560.98692,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.605,0.00900000000000012,0.614,452.890625,455.921875,455.921875,573.56640625,120.67578125,"rmsd",1050.8632661615,NA,0.513276068665562,1050.8632661615,2377403560.98502,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.604,0.0089999999999999,0.613,452.84765625,455.875,455.875,573.42578125,120.578125,"rmsd",1050.86326616939,NA,0.513276068658251,1050.86326616939,2377403560.97963,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cuda__r1","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.615,0.00800000000000001,0.623,452.73046875,790.9609375,792.03515625,860.60546875,407.875,"rmsd",1050.86326613946,NA,0.513276068685973,1050.86326613946,2377403561.00128,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cuda__r2","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.501,0.00800000000000001,0.509,452.8359375,790.25,791.3359375,859.42578125,406.58984375,"rmsd",1050.86326613891,NA,0.513276068686482,1050.86326613891,2377403561.00158,8620,"success","","","0.99.39"
