"package_version","dataset","method","backend","ncomp","n_ok","n_failed","median_total_sec","iqr_total_sec","median_metric","median_peak_rss_mb","median_incremental_rss_mb","error"
"0.99.39","prism","kernelpls","cpu",6,3,0,5.579,0.0195000000000007,0.54775881621046,548.88671875,136.71875,""
"0.99.39","prism","kernelpls","cuda",6,3,0,0.449,0.0525,0.547758816210583,901.41015625,489.21875,""
"0.99.39","retina","plssvd","cpu",11,3,0,0.0559999999999999,5.55111512312578e-17,0.927251629027939,510.91796875,97.2421875,""
"0.99.39","retina","plssvd","cuda",11,3,0,0.302,0.0259999999999999,0.927251629027939,860.47265625,446.8125,""
"0.99.39","retina","simpls","cpu",30,3,0,0.0790000000000001,0.000999999999999945,0.967776488440596,509.12890625,95.5078125,""
"0.99.39","retina","simpls","cuda",30,3,0,0.34,0.0305000000000001,0.967776488440596,856.609375,442.8984375,""
"0.99.39","retina","opls","cpu",22,3,0,0.097,0.00199999999999995,0.94974560385611,508.375,94.8203125,""
"0.99.39","retina","opls","cuda",22,3,0,0.356,0.0209999999999999,0.94974560385611,857.3984375,443.6640625,""
"0.99.39","retina","kernelpls","cpu",30,3,0,0.0810000000000001,5e-04,0.967776488440596,509.06640625,95.53125,""
"0.99.39","retina","kernelpls","cuda",30,3,0,0.339,0.00449999999999989,0.967776488440596,857.078125,443.546875,""
"0.99.39","tabula","plssvd","cpu",31,3,0,0.326,0.002,0.779999600471444,631.34765625,191.203125,""
"0.99.39","tabula","plssvd","cuda",31,3,0,0.481,0.0330000000000001,0.779999600471444,993.26953125,553.1328125,""
"0.99.39","tabula","simpls","cpu",44,3,0,0.379,0.00250000000000006,0.800435486126371,607.51953125,167.32421875,""
"0.99.39","tabula","simpls","cuda",44,3,0,0.602,0.034,0.800435486126371,943.8359375,503.703125,""
"0.99.39","tabula","opls","cpu",47,3,0,0.438,0.00299999999999989,0.798138196927625,621.9140625,181.77734375,""
"0.99.39","tabula","opls","cuda",47,3,0,0.69,0.0389999999999999,0.798138196927625,954.64453125,514.4765625,""
"0.99.39","tabula","kernelpls","cpu",44,3,0,0.38,0.00150000000000006,0.800435486126371,607.734375,167.51171875,""
"0.99.39","tabula","kernelpls","cuda",44,3,0,0.597,0.00550000000000017,0.800435486126371,950.6640625,510.54296875,""
"0.99.39","tcga_brca","plssvd","cpu",3,3,0,0.016,0.000500000000000056,0.840909090909091,464.56640625,69.6875,""
"0.99.39","tcga_brca","plssvd","cuda",3,3,0,0.282,0.0229999999999999,0.840909090909091,807.98828125,413.046875,""
"0.99.39","tcga_brca","simpls","cpu",7,3,0,0.0239999999999999,5e-04,0.852272727272727,464.58203125,69.66015625,""
"0.99.39","tcga_brca","simpls","cuda",7,3,0,0.302,0.0254999999999999,0.852272727272727,812.37890625,417.55078125,""
"0.99.39","tcga_brca","opls","cpu",5,3,0,0.0319999999999999,0.001,0.818181818181818,465.40234375,70.53125,""
"0.99.39","tcga_brca","opls","cuda",5,3,0,0.301,0.029,0.818181818181818,818.46875,423.60546875,""
"0.99.39","tcga_brca","kernelpls","cpu",7,3,0,0.025,5.55111512312578e-17,0.852272727272727,464.19140625,69.24609375,""
"0.99.39","tcga_brca","kernelpls","cuda",7,3,0,0.307,0.0194999999999999,0.852272727272727,812.59375,417.73046875,""
"0.99.39","tcga_hnsc_methylation","plssvd","cpu",1,3,0,0.0119999999999999,5.55111512312578e-17,1,461.70703125,69.91015625,""
"0.99.39","tcga_hnsc_methylation","plssvd","cuda",1,3,0,0.278,0.025,1,806.93359375,415.09375,""
"0.99.39","tcga_hnsc_methylation","simpls","cpu",2,3,0,0.0139999999999999,0.000499999999999945,1,461.55078125,69.62890625,""
"0.99.39","tcga_hnsc_methylation","simpls","cuda",2,3,0,0.273,0.0275,1,787.80859375,395.99609375,""
"0.99.39","tcga_hnsc_methylation","opls","cpu",1,3,0,0.0199999999999999,0.001,1,467.58984375,75.6875,""
"0.99.39","tcga_hnsc_methylation","opls","cuda",1,3,0,0.273,0.0299999999999999,1,789.56640625,397.72265625,""
"0.99.39","tcga_hnsc_methylation","kernelpls","cpu",2,3,0,0.0159999999999999,0.000499999999999945,1,461.61328125,69.69921875,""
"0.99.39","tcga_hnsc_methylation","kernelpls","cuda",2,3,0,0.273,0.0240000000000001,1,787.84375,395.91796875,""
"0.99.39","tcga_pan_cancer","plssvd","cpu",30,3,0,0.113,0.000999999999999945,0.882892057026477,493.03125,78.61328125,""
"0.99.39","tcga_pan_cancer","plssvd","cuda",30,3,0,0.299,0.0249999999999998,0.882892057026477,839.85546875,425.3671875,""
"0.99.39","tcga_pan_cancer","simpls","cpu",185,3,0,2.382,0.004,0.940936863543788,495.4609375,80.90625,""
"0.99.39","tcga_pan_cancer","simpls","cuda",185,3,0,0.891,0.0614999999999999,0.940936863543788,846.12109375,431.6328125,""
"0.99.39","tcga_pan_cancer","opls","cpu",182,3,0,2.399,0.00549999999999962,0.938900203665988,529.0234375,114.5546875,""
"0.99.39","tcga_pan_cancer","opls","cuda",182,3,0,0.948,0.0475,0.938900203665988,861.8203125,447.26953125,""
"0.99.39","tcga_pan_cancer","kernelpls","cpu",185,3,0,2.373,0.00750000000000028,0.940936863543788,495.83203125,81.36328125,""
"0.99.39","tcga_pan_cancer","kernelpls","cuda",185,3,0,0.889,0.049,0.940936863543788,845.99609375,431.47265625,""
