"package_version","accelerator","dataset","method","ncomp","cpu_total_sec","accelerator_total_sec","cpu_accelerator_ratio","metric_cpu","metric_accelerator","metric_delta","prediction_agreement","cpu_peak_rss_mb","accelerator_peak_rss_mb","cpu_incremental_rss_mb","accelerator_incremental_rss_mb","cpu_ok","accelerator_ok"
"0.99.39","cuda","tabula","simpls",44,0.379,0.602,0.629568106312292,0.800435486126371,0.800435486126371,0,1,607.51953125,943.8359375,167.32421875,503.703125,3,3
"0.99.39","cuda","tabula","opls",47,0.438,0.69,0.634782608695652,0.798138196927625,0.798138196927625,0,1,621.9140625,954.64453125,181.77734375,514.4765625,3,3
"0.99.39","cuda","tabula","kernelpls",44,0.38,0.597,0.636515912897822,0.800435486126371,0.800435486126371,0,1,607.734375,950.6640625,167.51171875,510.54296875,3,3
"0.99.39","cuda","tcga_brca","plssvd",3,0.016,0.282,0.0567375886524823,0.840909090909091,0.840909090909091,0,1,464.56640625,807.98828125,69.6875,413.046875,3,3
"0.99.39","cuda","tcga_brca","simpls",7,0.0239999999999999,0.302,0.0794701986754963,0.852272727272727,0.852272727272727,0,1,464.58203125,812.37890625,69.66015625,417.55078125,3,3
"0.99.39","cuda","tcga_brca","opls",5,0.0319999999999999,0.301,0.106312292358804,0.818181818181818,0.818181818181818,0,1,465.40234375,818.46875,70.53125,423.60546875,3,3
"0.99.39","cuda","tcga_brca","kernelpls",7,0.025,0.307,0.0814332247557004,0.852272727272727,0.852272727272727,0,1,464.19140625,812.59375,69.24609375,417.73046875,3,3
"0.99.39","cuda","tcga_hnsc_methylation","plssvd",1,0.0119999999999999,0.278,0.0431654676258989,1,1,0,1,461.70703125,806.93359375,69.91015625,415.09375,3,3
"0.99.39","cuda","tcga_hnsc_methylation","simpls",2,0.0139999999999999,0.273,0.0512820512820509,1,1,0,1,461.55078125,787.80859375,69.62890625,395.99609375,3,3
"0.99.39","cuda","tcga_hnsc_methylation","opls",1,0.0199999999999999,0.273,0.0732600732600729,1,1,0,1,467.58984375,789.56640625,75.6875,397.72265625,3,3
"0.99.39","cuda","tcga_hnsc_methylation","kernelpls",2,0.0159999999999999,0.273,0.0586080586080583,1,1,0,1,461.61328125,787.84375,69.69921875,395.91796875,3,3
"0.99.39","cuda","tcga_pan_cancer","plssvd",30,0.113,0.299,0.377926421404683,0.882892057026477,0.882892057026477,0,1,493.03125,839.85546875,78.61328125,425.3671875,3,3
"0.99.39","cuda","tcga_pan_cancer","simpls",185,2.382,0.891,2.67340067340067,0.940936863543788,0.940936863543788,0,1,495.4609375,846.12109375,80.90625,431.6328125,3,3
"0.99.39","cuda","tcga_pan_cancer","opls",182,2.399,0.948,2.53059071729958,0.938900203665988,0.938900203665988,0,1,529.0234375,861.8203125,114.5546875,447.26953125,3,3
"0.99.39","cuda","tcga_pan_cancer","kernelpls",185,2.373,0.889,2.66929133858268,0.940936863543788,0.940936863543788,0,1,495.83203125,845.99609375,81.36328125,431.47265625,3,3
