"dataset","comparison_profile","implementation","function_name","package_version","fastpls_source_archive_sha256","estimator","solver","precision","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","output_contract","timing_mode","measurement_scope","phase_timing_enabled","runtime_initialization_policy","batch_iterations","iteration","timeout_sec","split_seed","replicate","n_train","n_test","p","q","ncomp","requested_ncomp","effective_ncomp","fit_sec","prediction_sec","total_sec","preprocess_crosscov_sec","estimator_sec","coefficient_path_sec","fitted_values_sec","model_assembly_sec","cpp_total_sec","r_wrapper_fit_overhead_sec","accuracy","fit_object_mb","prediction_object_mb","coefficient_path_mb","score_outputs_mb","loading_outputs_mb","fitted_outputs_mb","variance_outputs_mb","prefit_process_rss_mb","final_process_rss_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","status","warning_message","error_message","process_peak_rss_mb","user_cpu_sec","system_cpu_sec","baseline_corrected_peak_increment_mb"
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,11,10000,123,1,547,71,1000,18,26,26,26,0.0522067546844482,0.00129508972167969,0.0535018444061279,0.004736227,0.024974894,0.000179619,0,5.1703e-05,0.029956377,0.0222503776844482,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,12,10000,123,1,547,71,1000,18,26,26,26,0.0523381233215332,0.0014030933380127,0.0537412166595459,0.004573431,0.024729949,0.000178267,0,4.9975e-05,0.02954575,0.0227923733215332,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,13,10000,123,1,547,71,1000,18,26,26,26,0.0490469932556152,0.00137805938720703,0.0504250526428223,0.004414434,0.024893813,0.000181341,0,5.7841e-05,0.029561661,0.0194853322556152,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,14,10000,123,1,547,71,1000,18,26,26,26,0.0525720119476318,0.00125479698181152,0.0538268089294434,0.005921378,0.024712834,0.000179785,0,8.9056e-05,0.030917581,0.0216544309476318,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,15,10000,123,1,547,71,1000,18,26,26,26,0.114290952682495,0.0013420581817627,0.115633010864258,0.004962606,0.024562459,0.000178393,0,5.2508e-05,0.029769134,0.0845218186824951,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,16,10000,123,1,547,71,1000,18,26,26,26,0.0498085021972656,0.00138092041015625,0.0511894226074219,0.004648076,0.024873975,0.000180934,0,5.2217e-05,0.02976995,0.0200385521972656,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,17,10000,123,1,547,71,1000,18,26,26,26,0.0526831150054932,0.0012671947479248,0.053950309753418,0.00570507,0.024498593,0.000226029,0,9.5959e-05,0.030541357,0.0221417580054932,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,18,10000,123,1,547,71,1000,18,26,26,26,0.0514793395996094,0.00147509574890137,0.0529544353485107,0.004747383,0.024822695,0.000175924,0,5.4046e-05,0.029814061,0.0216652785996094,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,19,10000,123,1,547,71,1000,18,26,26,26,0.0531554222106934,0.00148177146911621,0.0546371936798096,0.005769642,0.024590414,0.000182197,0,5.252e-05,0.030607591,0.0225478312106934,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,20,10000,123,1,547,71,1000,18,26,26,26,0.0482344627380371,0.00147891044616699,0.0497133731842041,0.004511276,0.02424983,0.000183183,0,5.3203e-05,0.02901217,0.0192222927380371,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
