"dataset","comparison_profile","implementation","repetitions_completed","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_fit_object_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb"
"cifar100","complete_workflow","fastpls",5,2200.9375,292.24609375,1906.77734375,0.109375,294.1484375,292.44921875,2109.48828125,2.53330993652344,0.586151123046875,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"final coefficient matrix (p x q)",0.5859375
"gtex_v8","complete_workflow","fastpls",30,614.3359375,0.9033203125,428.13671875,0.107421875,186.216796875,0.9072265625,546.8984375,1.86650085449219,0.244354248046875,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"final coefficient matrix (p x q)",0.244140625
"metref","complete_workflow","fastpls",50,479.376953125,0.4912109375,395.33203125,0.080078125,84.083984375,0.4091796875,411.876953125,0.502334594726562,0.0631561279296875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"final coefficient matrix (p x q)",0.0629425048828125
"retina","complete_workflow","fastpls",50,547.3125,1.974609375,422.365234375,0.1162109375,124.98046875,1.9423828125,479.74609375,0.05615234375,0.004791259765625,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"final coefficient matrix (p x q)",0.00457763671875
"tabula","complete_workflow","fastpls",30,695.271484375,11.4755859375,477.15625,0.544921875,218.146484375,12.04296875,627.943359375,0.0925445556640625,0.012420654296875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"final coefficient matrix (p x q)",0.01220703125
"tcga_brca","complete_workflow","fastpls",50,499.1171875,0.31640625,399.533203125,0.0830078125,99.556640625,0.3251953125,431.61328125,0.131263732910156,0.038360595703125,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"final coefficient matrix (p x q)",0.03814697265625
"tcga_hnsc_methylation","complete_workflow","fastpls",50,481.228515625,0.330078125,396.20703125,0.0927734375,85.02734375,0.2998046875,413.666015625,0.0569686889648438,0.01214599609375,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"final coefficient matrix (p x q)",0.011932373046875
"tcga_pan_cancer","complete_workflow","fastpls",30,598.322265625,1.29296875,425.3046875,0.0908203125,172.9765625,1.1904296875,530.751953125,1.57691955566406,0.207733154296875,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"final coefficient matrix (p x q)",0.20751953125
"ccle","estimator_kernel","fastpls",50,472.015625,0.4443359375,397.83203125,0.0888671875,74.16015625,0.4482421875,404.50390625,3.80507659912109,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625
"cifar100","estimator_kernel","fastpls",5,1976.3671875,0.13671875,1906.82421875,0.0546875,69.48046875,0.08203125,1908.75390625,155.915725708008,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625
"gtex_v8","estimator_kernel","fastpls",30,575.1171875,0.6640625,428.1953125,0.0947265625,146.92578125,0.5966796875,499.802734375,47.9424591064453,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875
"metref","estimator_kernel","fastpls",50,476.662109375,0.4111328125,395.28515625,0.0966796875,81.3671875,0.3798828125,409.134765625,7.82253265380859,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188
"retina","estimator_kernel","fastpls",50,523.482421875,1.8974609375,422.384765625,0.091796875,101.1328125,1.873046875,455.787109375,0.169868469238281,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625
"tabula","estimator_kernel","fastpls",30,601.216796875,8.708984375,477.19140625,0.5048828125,124.044921875,8.14453125,602.00390625,0.586784362792969,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375
"tcga_brca","estimator_kernel","fastpls",50,470.302734375,0.345703125,399.537109375,0.1064453125,70.71484375,0.2646484375,402.759765625,0.349281311035156,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375
"tcga_hnsc_methylation","estimator_kernel","fastpls",50,465.74609375,0.283203125,396.216796875,0.0966796875,69.517578125,0.2587890625,398.169921875,0.0601272583007812,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375
