"dataset","comparison_profile","implementation","repetitions_completed","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_fit_object_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb"
"tcga_pan_cancer","complete_workflow","pls",20,1960.01953125,0,426.39453125,0,1533.625,0,1689.8671875,321.41650390625,38.4594192504883,4.45293426513672,1.26482391357422,135.719879150391,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"fitted/residual response path (n_train x q x A each)",135.498046875
"ccle","estimator_kernel","pls",50,515.828125,0,405.81640625,0,110.01171875,0,448.31640625,3.57905578613281,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625
"cifar100","estimator_kernel","pls",10,2937.16796875,0,1904.45703125,0,1032.7109375,0,2287.78515625,154.108917236328,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625
"gtex_v8","estimator_kernel","pls",30,760.421875,0,468.4140625,0,292.0078125,0,692.31640625,46.3953247070312,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875
"metref","estimator_kernel","pls",50,541.98046875,0,396.58203125,0,145.3984375,0,474.2421875,7.43097686767578,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188
"retina","estimator_kernel","pls",50,602.45703125,0,423.63671875,0,178.8203125,0,534.796875,0.138565063476562,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625
"tabula","estimator_kernel","pls",30,811.18359375,0,503.875,0,307.30859375,0,744.0625,0.538467407226562,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375
"tcga_brca","estimator_kernel","pls",50,515.58203125,0,401.9609375,0,113.62109375,0,448.10546875,0.275436401367188,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375
"tcga_hnsc_methylation","estimator_kernel","pls",50,495.33984375,0,396.97265625,0,98.3671875,0,427.08984375,0.03057861328125,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375
"tcga_pan_cancer","estimator_kernel","pls",30,763.12109375,0,462.23046875,0,300.890625,0,691.19140625,38.3985748291016,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125
