"dataset","comparison_profile","implementation","timing_mode","cpu_profile","measurement_scope","requested_blas_threads","reported_blas_threads","loaded_blas_library","function_name","estimator","solver","output_contract","repetitions_attempted","repetitions_completed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_preprocess_crosscov_sec","median_estimator_sec","median_coefficient_path_sec","median_fitted_values_sec","median_model_assembly_sec","median_cpp_total_sec","median_r_wrapper_fit_overhead_sec","median_accuracy","median_fit_object_mb","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","failures","failure_messages"
"cifar100","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",10,10,15.9824440479278,0.0759594440460027,16.3158997297287,0.208712339401227,32.3271927833557,0.179904520511691,2.3108411675,13.5122433515,0.027798244,0,0.0488229075,15.8828862295,0.0937531075444342,0.8912,155.916854858398,2978.09765625,0,1915.875,0,1062.22265625,0,2224.0859375,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625,0,"NA"
"gtex_v8","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.06607460975647,0.0709891319274925,0.26776385307312,0.00740170478820801,1.3363778591156,0.070733964443205,0.0660755125,0.9064001725,0.008359618,0,0.0475469615,1.0519422705,0.0125297038820801,0.963613550815558,47.9435882568359,719.890625,0,454.35546875,0,265.53515625,0,651.98828125,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875,0,"NA"
"metref","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0715416669845581,0.00164449214935299,0.0125004053115845,0.000550866127014125,0.0843747854232788,0.00232040882110598,0.0034621705,0.0618485365,0.001003148,0,0.002198997,0.068031933,0.00348697526275635,0.97,7.82366180419922,530.5703125,0,401.66796875,0,128.90234375,0,463.0546875,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188,0,"NA"
"retina","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0385984182357788,0.00213444232940675,0.132529377937317,0.00543022155761724,0.17033338546753,0.00801753997802723,0.0330892395,0.0011340755,2.7482e-05,0,4.4023e-05,0.034301404,0.00390295022265625,0.967776488440596,0.170997619628906,583.1484375,0,455.6640625,0,127.484375,0,515.80078125,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625,0,"NA"
"tabula","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.123770475387573,0.011170208454132,1.06219935417175,0.0745090842247,1.19412589073182,0.0781776905059801,0.1106891725,0.002581278,7.75815e-05,0,7.7798e-05,0.113427596,0.0103748266218261,0.800435486126371,0.587913513183594,839.078125,0,505.0078125,0,334.0703125,0,771.3359375,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375,0,"NA"
"tcga_brca","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.00840938091278076,0.000596642494201658,0.000928878784179688,0.000116586685180663,0.00932931900024414,0.000758171081542965,0.0022937515,0.0043864225,3.49085e-05,0,0.000119393,0.006884694,0.00154313467553711,0.852272727272727,0.350410461425781,491.95703125,0,402.8125,0,89.14453125,0,424.359375,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375,0,"NA"
"tcga_hnsc_methylation","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.00379002094268799,0.00010061264038086,0.000391244888305664,1.76429748535155e-05,0.00417876243591309,0.000116407871246337,0.001290977,0.0006262755,3.0435e-06,0,2.3676e-05,0.001944944,0.00184300710772705,1,0.0612564086914062,465.87890625,0,398.17578125,0,67.703125,0,398.29296875,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375,0,"NA"
"tcga_pan_cancer","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.857138395309448,0.0632621049880979,0.30014979839325,0.00473248958587624,1.15660440921783,0.0662561655044525,0.054491942,0.731425734,0.00696468649999999,0,0.0133706035,0.818759169,0.0151389503927002,0.940936863543788,39.6944274902344,661.48046875,0,451.1953125,0,210.28515625,0,583.07421875,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125,0,"NA"
"ccle","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0673772096633911,0.000944197177886963,0.00199210643768311,0.000143229961395265,0.0693138837814331,0.000990509986877428,,,,,,,,0.71830985915493,0.39178466796875,489.3828125,0.3369140625,397.822265625,0.0927734375,91.52734375,0.3212890625,421.794921875,0.137542724609375,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,0,"NA"
"cifar100","complete_workflow","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",5,5,30.8518414497375,0.0717730522155975,1.12186002731323,0.00549888610839999,31.9728274345398,0.0695662498473979,,,,,,,,0.8912,2.53330993652344,2200.9375,292.24609375,1906.77734375,0.109375,294.1484375,292.44921875,2109.48828125,0.586151123046875,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"final coefficient matrix (p x q)",0.5859375,0,"NA"
