"dataset","comparison_profile","implementation","timing_mode","cpu_profile","measurement_scope","requested_blas_threads","reported_blas_threads","loaded_blas_library","function_name","estimator","solver","output_contract","repetitions_attempted","repetitions_completed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_preprocess_crosscov_sec","median_estimator_sec","median_coefficient_path_sec","median_fitted_values_sec","median_model_assembly_sec","median_cpp_total_sec","median_r_wrapper_fit_overhead_sec","median_accuracy","median_fit_object_mb","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","failures","failure_messages"
"metref","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0835542678833008,0.000637769699096749,0.0127292871475219,0.000256538391113276,0.0962224006652832,0.00101500749588017,,,,,,,,0.97,7.82253265380859,476.662109375,0.4111328125,395.28515625,0.0966796875,81.3671875,0.3798828125,409.134765625,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188,0,"NA"
"retina","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0515608787536621,0.00129002332687375,0.211220383644104,0.00270581245422402,0.26244330406189,0.00400614738464378,,,,,,,,0.967776488440596,0.169868469238281,523.482421875,1.8974609375,422.384765625,0.091796875,101.1328125,1.873046875,455.787109375,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625,0,"NA"
"tabula","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.152042031288147,0.00497317314147899,1.16334319114686,0.0100742578506501,1.31458938121796,0.0076717734336873,,,,,,,,0.800435486126371,0.586784362792969,601.216796875,8.708984375,477.19140625,0.5048828125,124.044921875,8.14453125,602.00390625,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375,0,"NA"
"tcga_brca","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0205998420715332,0.000532448291778575,0.00162875652313233,4.35113906860401e-05,0.022230863571167,0.000569164752960198,,,,,,,,0.852272727272727,0.349281311035156,470.302734375,0.345703125,399.537109375,0.1064453125,70.71484375,0.2646484375,402.759765625,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375,0,"NA"
"tcga_hnsc_methylation","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.01278817653656,0.00018638372421265,0.000961184501647949,2.3126602172852e-05,0.0137530565261841,0.000210046768188473,,,,,,,,1,0.0601272583007812,465.74609375,0.283203125,396.216796875,0.0966796875,69.517578125,0.2587890625,398.169921875,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375,0,"NA"
"tcga_pan_cancer","estimator_kernel","fastpls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.901354670524597,0.00658297538757324,0.304954767227173,0.00625312328338617,1.20685696601867,0.011945545673375,,,,,,,,0.940936863543788,39.6932983398438,557.142578125,0.40234375,425.3359375,0.0849609375,131.81640625,0.3544921875,489.5625,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125,0,"NA"
"ccle","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.0512722730636597,0.000658810138702386,0.00111210346221924,0.000148534774780277,0.0524088144302368,0.000777125358581598,,,,,,,,0.71830985915493,8.46478271484375,489.04296875,0.404296875,397.84375,0.078125,91.20703125,0.361328125,421.38671875,3.64181518554688,0.144157409667969,0.268394470214844,1.98998260498047,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"fitted/residual response path (n_train x q x A each)",1.95309448242188,0,"NA"
"cifar100","complete_workflow","pls","cold_process","reference_1","primary",,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"failed_process_137"
"gtex_v8","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",15,15,3.09901404380798,0.0192015171051052,0.016505241394043,0.000551581382751451,3.11523056030273,0.020021319389345,,,,,,,,0.963613550815558,337.743965148926,1035.34765625,0.41796875,428.16015625,0.0859375,607.19140625,0.419921875,967.734375,46.4862060546875,4.61312866210938,1.54648590087891,139.427124023438,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"fitted/residual response path (n_train x q x A each)",139.16015625,0,"NA"
"metref","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.351858973503113,0.00440329313278148,0.000758528709411621,0.000142216682434082,0.352636575698853,0.00441253185272156,,,,,,,,0.97,40.4751129150391,524.595703125,0.4404296875,395.341796875,0.09375,129.265625,0.4599609375,457.09375,7.46001434326172,0.751113891601562,0.368522644042969,15.367057800293,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"fitted/residual response path (n_train x q x A each)",15.3099670410156,0,"NA"
"retina","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",30,30,0.596501588821411,0.00452530384063721,0.016794204711914,0.0003247857093811,0.613275527954102,0.00502568483352639,,,,,,,,0.967776488440596,138.981544494629,732.619140625,0.2763671875,422.40234375,0.0810546875,310.2421875,0.3115234375,665.123046875,0.143791198730469,6.49723052978516,0.0170135498046875,62.8996505737305,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"fitted/residual response path (n_train x q x A each)",61.5289306640625,0,"NA"
"tabula","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",15,15,2.66901969909668,0.0119380950927752,0.0627079010009766,0.0021587610244751,2.73478174209595,0.0113747119903551,,,,,,,,0.800435486126371,1129.27906036377,2488.265625,0.576171875,477.17578125,0.087890625,2011.0546875,0.5390625,2420.62109375,0.545967102050781,21.7790222167969,0.0232086181640625,542.553649902344,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"fitted/residual response path (n_train x q x A each)",537.5712890625,0,"NA"
"tcga_brca","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.0222378969192505,0.00021648406982425,0.00111353397369385,6.49094581604e-05,0.0233912467956543,0.000209212303161649,,,,,,,,0.852272727272727,1.27191162109375,486.916015625,0.2314453125,399.541015625,0.0625,87.40625,0.26171875,419.240234375,0.330474853515625,0.0933990478515625,0.116691589355469,0.25506591796875,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"fitted/residual response path (n_train x q x A each)",0.201873779296875,0,"NA"
"tcga_hnsc_methylation","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",50,50,0.00860822200775146,0.000165462493896483,0.000440478324890137,1.6629695892334e-05,0.00904619693756104,0.000174999237060545,,,,,,,,1,0.413253784179688,473.978515625,0.3662109375,396.21484375,0.095703125,77.732421875,0.3779296875,406.353515625,0.078369140625,0.0444412231445312,0.066436767578125,0.0523834228515625,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"fitted/residual response path (n_train x q x A each)",0.015869140625,0,"NA"
"tcga_pan_cancer","complete_workflow","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","ordinary public fit object plus final test predictions",15,15,2.71375036239624,0.00791800022125022,0.0180428028106689,0.000603199005126998,2.73250842094421,0.00832152366637473,,,,,,,,0.940936863543788,321.41650390625,1006.0703125,0.248046875,425.3046875,0.095703125,580.68359375,0.3046875,938.36328125,38.4594192504883,4.45293426513672,1.26482391357422,135.719879150391,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"fitted/residual response path (n_train x q x A each)",135.498046875,0,"NA"
"ccle","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0425360202789307,0.000468850135803195,0.00138747692108155,0.00013840198516845,0.0439409017562866,0.000543296337127727,,,,,,,,0.71830985915493,3.57905578613281,485.22265625,0.3916015625,397.80859375,0.09765625,87.3984375,0.384765625,417.70703125,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625,0,"NA"
"cifar100","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",5,5,26.8334124088287,0.0430216789245996,0.54724645614624,0.0117616653442381,27.3695983886719,0.0537712574004985,,,,,,,,0.8912,154.108917236328,2025.375,0.5234375,1906.67578125,0.09375,118.69921875,0.4296875,1957.7734375,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625,0,"NA"
"gtex_v8","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.63909816741943,0.0147665739059399,0.0132396221160888,0.000435471534729,1.65225768089295,0.0148656964302052,,,,,,,,0.963613550815558,46.3953247070312,628.14453125,0.484375,428.173828125,0.0986328125,199.951171875,0.552734375,560.580078125,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875,0,"NA"
"metref","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.113594889640808,0.00100260972976701,0.000678181648254395,0.000152945518493652,0.114308714866638,0.000959575176239263,,,,,,,,0.97,7.43097686767578,494.505859375,0.314453125,395.31640625,0.1005859375,99.158203125,0.294921875,426.876953125,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188,0,"NA"
"retina","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0817283391952515,0.000622689723968478,0.017797589302063,0.0005877017974854,0.0994712114334106,0.00110906362533573,,,,,,,,0.967776488440596,0.138565063476562,521.869140625,0.4072265625,422.3515625,0.12109375,99.453125,0.4140625,454.25,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625,0,"NA"
"tabula","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.452540159225464,0.00261133909225497,0.0854008197784424,0.00310772657394406,0.538682579994202,0.00416392087936424,,,,,,,,0.800435486126371,0.538467407226562,657.033203125,0.30859375,477.1875,0.5615234375,179.580078125,0.6396484375,589.34765625,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375,0,"NA"
"tcga_brca","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0193020105361938,0.000261425971984929,0.00111663341522216,6.31213188171322e-05,0.0204257965087891,0.000236868858337402,,,,,,,,0.852272727272727,0.275436401367188,481.138671875,0.2734375,399.541015625,0.0703125,81.595703125,0.2919921875,413.46875,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375,0,"NA"
"tcga_hnsc_methylation","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0072321891784668,0.000108420848846432,0.000425457954406738,2.0325183868408e-05,0.00766801834106445,0.000122845172882083,,,,,,,,1,0.03057861328125,470.93359375,0.423828125,396.19140625,0.0869140625,74.732421875,0.4384765625,403.216796875,0.024078369140625,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"coefficient path (p x q x A)",0.02386474609375,0,"NA"
"tcga_pan_cancer","estimator_kernel","pls","cold_process","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","pls::simpls.fit","deterministic SIMPLS","eigen","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.31750595569611,0.0181626677513149,0.0162562131881714,0.000555455684661851,1.3335028886795,0.0181608200073202,,,,,,,,0.940936863543788,38.3985748291016,607.205078125,0.4462890625,425.296875,0.1025390625,181.92578125,0.48828125,539.55859375,38.3913269042969,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"coefficient path (p x q x A)",38.39111328125,0,"NA"
"ccle","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0518841743469238,0.00249046087265013,0.00142753124237061,0.000155448913574217,0.0532249212265015,0.00246459245681763,,,,,,,,0.71830985915493,0.39178466796875,507.06640625,0,400.4921875,0,106.57421875,0,439.65234375,0.137542724609375,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,0,"NA"
"cifar100","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",10,10,30.7306834459304,0.108637690544153,1.11734390258789,0.012571096420285,31.8361662626267,0.1013560891152,,,,,,,,0.8912,2.53330993652344,2989.65625,0,1910.9765625,0,1078.6796875,0,2111.6328125,0.586151123046875,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"final coefficient matrix (p x q)",0.5859375,0,"NA"
"gtex_v8","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,1.6118745803833,0.0531887412071175,0.0617285966873169,0.00255036354064937,1.67330074310303,0.05080109834671,,,,,,,,0.963613550815558,1.86650085449219,701.71484375,0,435.16015625,0,266.5546875,0,634.42578125,0.244354248046875,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"final coefficient matrix (p x q)",0.244140625,0,"NA"
"metref","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.104617834091187,0.00259208679199249,0.00250709056854248,0.000138938426971439,0.107192158699036,0.00270211696624727,,,,,,,,0.97,0.502334594726562,502.66796875,0,399.5390625,0,103.12890625,0,435.046875,0.0631561279296875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"final coefficient matrix (p x q)",0.0629425048828125,0,"NA"
"retina","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0982735157012939,0.0110813975334171,0.0242884159088134,0.0019028186798096,0.123269319534301,0.0113899707794185,,,,,,,,0.967776488440596,0.05615234375,610.87890625,0,445.77734375,0,165.1015625,0,544.015625,0.004791259765625,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"final coefficient matrix (p x q)",0.00457763671875,0,"NA"
"tabula","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,0.331730127334595,0.0238469243049618,0.0956438779830932,0.00327146053314215,0.427577853202819,0.0244567394256591,,,,,,,,0.800435486126371,0.0925445556640625,797.65625,0,543.1875,0,254.46875,0,730.14453125,0.012420654296875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"final coefficient matrix (p x q)",0.01220703125,0,"NA"
"tcga_brca","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0294333696365357,0.0113564729690552,0.00103271007537842,0.000169992446899412,0.0303305387496949,0.0112744569778443,,,,,,,,0.852272727272727,0.131263732910156,516.69140625,0,402.2578125,0,114.43359375,0,448.9453125,0.038360595703125,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"final coefficient matrix (p x q)",0.03814697265625,0,"NA"
"tcga_hnsc_methylation","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0100198984146118,0.00369173288345338,0.000464200973510743,1.6510486602783e-05,0.010489821434021,0.00371992588043216,,,,,,,,1,0.0569686889648438,502.87890625,0,398.23828125,0,104.640625,0,435.4609375,0.01214599609375,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"final coefficient matrix (p x q)",0.011932373046875,0,"NA"
"tcga_pan_cancer","complete_workflow","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,1.28943884372711,0.0675286054611226,0.0625722408294677,0.00316822528839112,1.35264956951141,0.0689053535461424,,,,,,,,0.940936863543788,1.57691955566406,670.36328125,0,430.89453125,0,239.46875,0,602.88671875,0.207733154296875,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"final coefficient matrix (p x q)",0.20751953125,0,"NA"
"ccle","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0325658321380616,0.00115221738815308,0.00216591358184814,0.000116407871246342,0.0347254276275635,0.00121331214904785,,,,,,,,0.71830985915493,3.80507659912109,512.9765625,0,400.94921875,0,112.02734375,0,445.66015625,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625,0,"NA"
"cifar100","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",10,10,16.0029324293136,0.0885251164436234,16.2512249946594,0.0709193944930497,32.231968998909,0.130857706069975,,,,,,,,0.8912,155.915725708008,3112.5078125,0,1910.9140625,0,1201.59375,0,2219.125,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625,0,"NA"
"gtex_v8","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,1.04971086978912,0.0663929581642149,0.267280697822571,0.00686192512512224,1.32557094097137,0.0675953030586227,,,,,,,,0.963613550815558,47.9424591064453,719.51171875,0,454.265625,0,265.24609375,0,651.8984375,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875,0,"NA"
"metref","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0719476938247681,0.00175279378890993,0.0125015974044799,0.000397503376007075,0.0844988822937012,0.00192421674728399,,,,,,,,0.97,7.82253265380859,530.36328125,0,401.7578125,0,128.60546875,0,462.73828125,7.42742919921875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"coefficient path (p x q x A)",7.42721557617188,0,"NA"
"retina","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0384178161621093,0.00282758474349975,0.13297188282013,0.00545829534530626,0.170042157173157,0.00891506671905473,,,,,,,,0.967776488440596,0.169868469238281,579.265625,0,455.76953125,0,123.49609375,0,511.859375,0.137542724609375,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"coefficient path (p x q x A)",0.1373291015625,0,"NA"
"tabula","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",30,30,0.124229788780212,0.00931823253631577,1.06112134456634,0.0763165950775175,1.19254279136657,0.0861628055572501,,,,,,,,0.800435486126371,0.586784362792969,840.5546875,0,543.05078125,0,297.50390625,0,772.9765625,0.537322998046875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"coefficient path (p x q x A)",0.537109375,0,"NA"
"tcga_brca","estimator_kernel","fastpls","steady_process_batch","reference_1","primary",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.00819385051727295,0.000278770923614502,0.000905156135559082,5.9545040130615e-05,0.00908195972442626,0.00028514862060547,,,,,,,,0.852272727272727,0.349281311035156,492.09765625,0,402.78125,0,89.31640625,0,424.59375,0.267242431640625,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"coefficient path (p x q x A)",0.26702880859375,0,"NA"
