"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","cuda_rsvd_explicit","cuda","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.308,0.0055,0.00399999999999978,0.000500000000000055,0.312,0.005,372.59775,774.129,218,2.13041687011719,5.10348346992645e-06,0.999999999986978,NA,9.23755238968482e-09,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","cuda_rsvd_implicit","cuda","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.305,0.0045,0.00300000000000011,0,0.308,0.0045,372.5933125,774.023,218,2.13041687011719,5.10348346992645e-06,0.999999999986978,NA,9.23755238968482e-09,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,524,NA,20,10,1,3.997802734375,0.519,0.00100000000000011,0.0670000000000002,0.00200000000000014,0.587,0.00250000000000006,46.75428125,445.641,NA,4.14591217041016,0,1,NA,0,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,524,NA,20,10,1,3.997802734375,0.343,0.00299999999999995,0.004,0.000499999999999945,0.347,0.00349999999999995,383.457125,786.711,224,4.15132141113281,3.82708857563206e-05,0.999999999267825,NA,4.0422781633076e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cuda_rsvd_explicit","cuda","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,0.31,0.0015,0.00300000000000011,0,0.313,0.0015,383.4104375,786.633,224,4.15130615234375,3.82708857581579e-05,0.999999999267825,NA,4.0422781633076e-07,0,3
"42_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cuda_rsvd_implicit","cuda","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,0.319,0.00800000000000001,0.004,0.000500000000000055,0.323,0.00750000000000001,383.4184375,786.77,224,4.15130615234375,3.82708857581579e-05,0.999999999267825,NA,4.0422781633076e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,1049,NA,20,10,1,8.00323486328125,1.019,0.00100000000000011,0.133,5e-04,1.151,0.00099999999999989,81.38646875,478.699,NA,8.19540405273438,0,1,NA,0,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,1049,NA,20,10,1,8.00323486328125,0.389,0.003,0.004,0,0.393,0.003,409.30865625,811.008,244,8.20081329345703,1.86067733633732e-05,0.999999999826939,NA,1.56123368344474e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cuda_rsvd_explicit","cuda","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,1049,NA,20,10,1,8.00323486328125,0.346,0.005,0.004,0,0.35,0.005,409.2971875,811.055,244,8.20079803466797,1.8606773364086e-05,0.999999999826939,NA,1.56123368344474e-07,0,3
"43_crosscov_mb_8_0","one_factor","crosscov_mb",8.00323486328125,"regression","cuda_rsvd_implicit","cuda","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,1049,NA,20,10,1,8.00323486328125,0.342,0.00249999999999995,0.004,0.000499999999999945,0.345,0.0025,409.2730625,810.984,244,8.20079803466797,1.8606773364086e-05,0.999999999826939,NA,1.56123368344474e-07,0,3
