"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"06_p_50__cuda_rsvd_auto__rep1","06_p_50","p","one_factor",50,"regression",2000,400,50,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"06_p_50__cpu_irlba_explicit__rep2","06_p_50","p","one_factor",50,"regression",2000,400,50,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"06_p_50__cuda_rsvd_auto__rep2","06_p_50","p","one_factor",50,"regression",2000,400,50,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"06_p_50__cpu_irlba_explicit__rep3","06_p_50","p","one_factor",50,"regression",2000,400,50,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"06_p_50__cuda_rsvd_auto__rep3","06_p_50","p","one_factor",50,"regression",2000,400,50,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"07_p_100__cpu_irlba_explicit__rep1","07_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"07_p_100__cuda_rsvd_auto__rep1","07_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"07_p_100__cpu_irlba_explicit__rep2","07_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"07_p_100__cuda_rsvd_auto__rep2","07_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"07_p_100__cpu_irlba_explicit__rep3","07_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"07_p_100__cuda_rsvd_auto__rep3","07_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"08_p_250__cpu_irlba_explicit__rep1","08_p_250","p","one_factor",250,"regression",2000,400,250,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"08_p_250__cuda_rsvd_auto__rep1","08_p_250","p","one_factor",250,"regression",2000,400,250,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"08_p_250__cpu_irlba_explicit__rep2","08_p_250","p","one_factor",250,"regression",2000,400,250,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"08_p_250__cuda_rsvd_auto__rep2","08_p_250","p","one_factor",250,"regression",2000,400,250,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"08_p_250__cpu_irlba_explicit__rep3","08_p_250","p","one_factor",250,"regression",2000,400,250,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"08_p_250__cuda_rsvd_auto__rep3","08_p_250","p","one_factor",250,"regression",2000,400,250,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"09_p_500__cpu_irlba_explicit__rep1","09_p_500","p","one_factor",500,"regression",2000,400,500,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
