"component","fast_metric","reference_metric","family","case"
2,1.22958187970443,1.22958187970443,"kernelPLS_poly","gasoline_real_regression"
3,1.21993073996881,1.2199307399688,"kernelPLS_poly","gasoline_real_regression"
4,1.02345275202709,1.02345275202709,"kernelPLS_poly","gasoline_real_regression"
5,0.908487753756228,0.908487753756213,"kernelPLS_poly","gasoline_real_regression"
1,0.8,0.8,"OPLS","breast_real_classification"
2,0.94,0.94,"OPLS","breast_real_classification"
3,0.96,0.96,"OPLS","breast_real_classification"
1,0.793333333333333,0.793333333333333,"kernelPLS_rbf","breast_real_classification"
2,0.933333333333333,0.933333333333333,"kernelPLS_rbf","breast_real_classification"
3,0.946666666666667,0.946666666666667,"kernelPLS_rbf","breast_real_classification"
1,0.8,0.8,"kernelPLS_poly","breast_real_classification"
2,0.893333333333333,0.893333333333333,"kernelPLS_poly","breast_real_classification"
3,0.946666666666667,0.946666666666667,"kernelPLS_poly","breast_real_classification"
