"family","case","component","fold","fast_metric","reference_metric","status","error"
"kernelPLS_poly","synthetic_regression_p_lt_n",2,1,1.56834268957782,1.56834268957782,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",2,2,1.37007574264543,1.37007574264543,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",2,3,1.54192068072724,1.54192068072724,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",2,4,1.64870452578948,1.64870452578948,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",2,5,1.84079515009305,1.84079515009305,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",3,1,1.31187212936656,1.31187212936656,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",3,2,1.26038532295185,1.26038532295185,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",3,3,1.3518402991774,1.3518402991774,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",3,4,1.23192549509026,1.23192549509026,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",3,5,1.59657776386624,1.59657776386624,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",4,1,1.15201140255161,1.15201140255161,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",4,2,1.08320444702406,1.08320444702406,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",4,3,1.04777532712028,1.04777532712028,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",4,4,1.14914690067407,1.14914690067407,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",4,5,1.21196108951871,1.21196108951871,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",5,1,0.947771693240235,0.947771693240235,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",5,2,0.89194262839726,0.891942628397259,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",5,3,0.799925634461319,0.799925634461319,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",5,4,0.875013271379361,0.875013271379362,"success",NA
"kernelPLS_poly","synthetic_regression_p_lt_n",5,5,0.946824602044998,0.946824602044998,"success",NA
