"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.095,0.00900000000000012,0.104,452.765625,454.8828125,454.8828125,522.5234375,69.7578125,"rmsd",1204.05930120707,NA,0.361021814491478,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0949999999999999,0.0089999999999999,0.104,452.75390625,454.9296875,454.9296875,522.32421875,69.5703125,"rmsd",1204.05930120707,NA,0.361021814491478,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.096,0.00900000000000012,0.105,452.87109375,455.02734375,455.02734375,522.91796875,70.046875,"rmsd",1204.05930120707,NA,0.361021814491478,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cuda__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",2,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.308,0.00800000000000001,0.316,452.7890625,784.9140625,785.30078125,853.37890625,400.58984375,"rmsd",1204.05930120706,NA,0.361021814491484,1204.05930120706,2437913603.45567,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cuda__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",2,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.27,0.00800000000000001,0.278,452.89453125,785.55078125,785.9375,854.31640625,401.421875,"rmsd",1204.05930120707,NA,0.361021814491482,1204.05930120707,2437913603.45567,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cuda__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",2,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.277,0.00800000000000001,0.285,452.90234375,786.0703125,786.45703125,854.8046875,401.90234375,"rmsd",1204.05930120707,NA,0.361021814491478,1204.05930120707,2437913603.45567,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cuda__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",2,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.266,0.00700000000000012,0.273,452.80859375,785.84375,786.23046875,854,401.19140625,"rmsd",1204.05930120707,NA,0.36102181449148,1204.05930120707,2437913603.45567,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cuda__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",2,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.266,0.0069999999999999,0.273,452.890625,785.66796875,786.0546875,853.83203125,400.94140625,"rmsd",1204.05930120707,NA,0.361021814491479,1204.05930120707,2437913603.45567,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.108,0.01,0.118,452.8828125,454.93359375,454.93359375,522.640625,69.7578125,"rmsd",1092.52684370828,NA,0.473916705824894,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.107,0.00900000000000012,0.116,452.8671875,454.98046875,454.98046875,522.4140625,69.546875,"rmsd",1092.52684370828,NA,0.473916705824894,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
