"package_version","dataset","task_type","method","backend_requested","precision","classifier","svd_method","ncomp","n_ok","n_failed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_metric","median_peak_rss_mb","median_incremental_rss_mb","control_profile","oversample","power","direction_rule","fresh_start","errors"
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",1,5,0,0.229,1.11022302462516e-16,0.016,2.22044604925031e-16,0.245,2.22044604925031e-16,1480.8070048676,631.5859375,178.78515625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",1,5,0,0.38,0.0129999999999998,0.0169999999999999,0.00099999999999989,0.398,0.0129999999999998,1480.8070048676,898.328125,445.5390625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",2,5,0,0.238,0.00200000000000011,0.0150000000000001,2.22044604925031e-16,0.254,0.00199999999999989,1146.2822099557,631.5,178.61328125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",2,5,0,0.392,0.02,0.0129999999999999,0.00100000000000011,0.405,0.0189999999999999,1146.2822099557,908.453125,455.6875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",5,5,0,0.269,0.001,0.016,0,0.285,0.001,1110.73064115455,631.8125,178.98828125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",5,5,0,0.398,0.00499999999999989,0.024,0,0.421,0.00499999999999989,1110.73064115454,908.5078125,455.65234375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",10,5,0,0.319,0.001,0.0150000000000001,2.22044604925031e-16,0.334,0.00100000000000022,1085.3902218495,631.67578125,178.81640625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",10,5,0,0.42,0.00600000000000012,0.014,0,0.434,0.00600000000000012,1085.39022184911,908.171875,455.44921875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",20,5,0,0.448,0.005,0.016,0.00099999999999989,0.464,0.00599999999999989,1094.04583578877,631.6171875,178.80859375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",20,5,0,0.472,0.002,0.014,0,0.486,0.002,1094.04583578649,908.77734375,456.0390625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",48,5,0,0.705,0.00399999999999989,0.0149999999999999,2.22044604925031e-16,0.72,0.00400000000000011,1051.00988214273,632.6328125,179.7734375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",48,5,0,0.569,0.00399999999999989,0.014,0,0.583,0.00300000000000011,1051.00988209541,909.06640625,456.31640625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",50,5,0,0.726,0.005,0.016,0,0.742,0.00400000000000011,1051.84354851127,632.703125,179.90234375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cuda","float64","argmax","rsvd",50,5,0,0.58,0.005,0.014,0,0.594,0.00399999999999989,1051.84354844922,909.5234375,456.6796875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",1,5,0,0.119,0.001,0.00900000000000012,0.00099999999999989,0.128,0.00199999999999989,1484.73183922093,572.2578125,119.50390625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",1,5,0,0.267,0.00500000000000012,0.0110000000000001,0,0.278,0.00500000000000012,1484.73183922093,857.68359375,404.80859375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",2,5,0,0.132,0.00100000000000011,0.0089999999999999,0.00099999999999989,0.141,2.22044604925031e-16,1480.64923754435,572.33984375,119.62890625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",2,5,0,0.276,0.00499999999999978,0.00700000000000012,0.00100000000000011,0.283,0.00500000000000012,1480.64923754435,858.62890625,405.87109375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",5,5,0,0.158,1.11022302462516e-16,0.00900000000000012,0.00099999999999989,0.167,3.33066907387547e-16,1114.67303488022,572.0703125,119.3125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",5,5,0,0.288,0.002,0.018,0,0.307,0.002,1114.6730348802,880.3046875,427.515625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",10,5,0,0.209,0.001,0.01,0,0.219,0.001,1091.41081609294,572.15234375,119.34765625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",10,5,0,0.307,0.001,0.00800000000000001,0,0.315,0.001,1091.4108160928,859.9453125,407.0625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",20,5,0,0.322,0.0189999999999999,0.01,0,0.332,0.0189999999999999,1099.96071166661,572.1875,119.3828125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",20,5,0,0.354,0.003,0.00800000000000001,0,0.362,0.003,1099.96071166573,860.28125,407.5625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",49,5,0,0.614,0.0220000000000001,0.01,0,0.624,0.0220000000000001,1050.86326616378,573.28125,120.515625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",49,5,0,0.464,0.00299999999999989,0.00800000000000001,0,0.472,0.00299999999999989,1050.86326613898,860.421875,407.66796875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",50,5,0,0.621,0.00600000000000012,0.01,0.00099999999999989,0.63,0.005,1052.0989214957,573.26953125,120.40234375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cuda","float64","argmax","rsvd",50,5,0,0.471,0.004,0.00800000000000001,0,0.479,0.004,1052.09892146373,859.66796875,406.8984375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","ccle","classification","plssvd","cpu","float64","argmax","rsvd",1,5,0,0.015,1.11022302462516e-16,0.004,0,0.0189999999999999,1.11022302462516e-16,0.267605633802817,463.12109375,69.9296875,"not_applicable",32,5,"NA",NA,""
"0.99.39","ccle","classification","plssvd","cuda","float64","argmax","rsvd",1,5,0,0.243,0.004,0.0069999999999999,2.22044604925031e-16,0.25,0.00400000000000023,0.267605633802817,832.66796875,439.546875,"not_applicable",32,5,"NA",NA,""
"0.99.39","ccle","classification","plssvd","cpu","float64","argmax","rsvd",2,5,0,0.0159999999999999,0.001,0.004,0,0.019,0.00099999999999989,0.338028169014085,462.55078125,69.48046875,"not_applicable",32,5,"NA",NA,""
"0.99.39","ccle","classification","plssvd","cuda","float64","argmax","rsvd",2,5,0,0.234,1.11022302462516e-16,0.004,0,0.238,1.11022302462516e-16,0.338028169014085,809.96875,416.890625,"not_applicable",32,5,"NA",NA,""
"0.99.39","ccle","classification","plssvd","cpu","float64","argmax","rsvd",5,5,0,0.0159999999999999,1.11022302462516e-16,0.003,0.001,0.019,0.001,0.436619718309859,462.80078125,69.609375,"not_applicable",32,5,"NA",NA,""
