"dataset","task_type","dataset_path","split_seed","n_train","n_test","p","n_response","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","input_storage_mb","ncomp_requested","replicate","method_id","package","package_version","function_name","algorithm","requested_estimator","executed_estimator","independent_implementation","total_runtime_ms","metric_name","metric_value","accuracy","balanced_accuracy","macro_f1","rmse","q2","mae","status","warning_message","error_message","peak_host_rss_mb","user_cpu_sec","system_cpu_sec","process_status"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,4,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,48,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,463.417969,1.02,0.11,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,5,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,48,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,462.804688,1.03,0.11,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,6,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,47.9999999999998,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,463.105469,1.02,0.12,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,7,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,48.9999999999999,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,463.140625,1.03,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,8,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,48,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,462.898438,1.01,0.11,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,9,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,47.9999999999998,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,463.296875,1.01,0.12,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","argmax","float64",4.89482116699219,26,10,"fastPLS_simpls_cpu_irlba","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='argmax')","SIMPLS","simpls","simpls",TRUE,48,"accuracy",0.71830985915493,0.71830985915493,0.59021164021164,0.602765752765753,,,,"ok",,,463.261719,1.03,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,1,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,55.9999999999998,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,464.078125,1.02,0.13,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,2,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,54.9999999999999,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,464.078125,1.03,0.1,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","lda","cpp_project","float64",4.89482116699219,26,3,"fastPLS_simpls_cpu_irlba_lda","fastPLS","0.99.39","fastPLS::pls(method='simpls', backend='cpu', svd.method='irlba', classifier='lda')","SIMPLS + LDA","simpls","simpls",TRUE,53.9999999999998,"accuracy",0.774647887323944,0.774647887323944,0.685582010582011,0.705659772326439,,,,"ok",,,463.835938,1.02,0.11,"ok"
