"dataset","task_type","method_id","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2"
"retina","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",30,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,90.0000000000001,0.749999999999929,494.7167965,0.301758250000034,0.969115415513702,0,"accuracy",0.969115415513702,0.909706872612551,0.936189749405791,,
"tabula","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",44,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,285.5,1,599.751953,0.184570000000008,0.874528056892866,0,"accuracy",0.874528056892866,0.812762740967671,0.808052487455842,,
"tcga_brca","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",7,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,29,1.0000000000001,464.412109,0.249023000000022,0.863636363636364,0,"accuracy",0.863636363636364,0.876965669988926,0.846635282295501,,
"tcga_hnsc_methylation","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",2,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,18.9999999999999,1.49213974509621e-13,461.5585935,0.190429249999966,0.982758620689655,0,"accuracy",0.982758620689655,0.990566037735849,0.94978354978355,,
"tcga_pan_cancer","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",185,"float64","float64","lda","cpp_project","float64","simpls","simpls",3,1031,11,497.730469,1.3125,0.934826883910387,0,"accuracy",0.934826883910387,0.915076535238949,0.908787422146443,,
"ccle","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",26,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,740.5,3.5,206.2441405,0.235352000000034,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,,
"gtex_v8","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",190,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,25186,76.5,1344.328125,0.1640625,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,,
"metref","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",118,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,1450,23,285.09375,0.244140500000071,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,,
"retina","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",30,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3274,16.5,841.105469,0.316406499999971,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,,
"tabula","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",44,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,20260,51,5601.339844,0.09375,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,,
"tcga_brca","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",7,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,432,2.75,202.59375,0.215820000000008,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,,
"tcga_hnsc_methylation","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",2,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,142.5,1,166.578125,0.189452249999988,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",185,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,21035,52.5,1326.222656,1.796875,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,,
"ccle","classification","mixOmics_plsda","mixOmics","PLS-DA",26,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,1031,5,356.875,0.197265499999958,0.71830985915493,0,"accuracy",0.71830985915493,0.576322751322751,0.572619047619048,,
"gtex_v8","classification","mixOmics_plsda","mixOmics","PLS-DA",190,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,3341605,5576.5,845.917969,0.308593500000029,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.8296355966322,,
"metref","classification","mixOmics_plsda","mixOmics","PLS-DA",118,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,34979,57.5,417.445312,0.550781499999971,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,,
"retina","classification","mixOmics_plsda","mixOmics","PLS-DA",30,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,4970603,19486.5,852.316406,1.15429699999993,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,,
"tcga_brca","classification","mixOmics_plsda","mixOmics","PLS-DA",7,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",10,287,1.75,301.095703,0.308593250000001,0.852272727272727,0,"accuracy",0.852272727272727,0.675570321151717,0.668317123489537,,
"tcga_hnsc_methylation","classification","mixOmics_plsda","mixOmics","PLS-DA",2,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",10,34.9999999999999,1.75000000000003,277.648437,0.125000250000028,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","mixOmics_plsda","mixOmics","PLS-DA",185,"float64","float64","argmax","mixOmics","float64","PLS-DA","PLS-DA",3,3820241,8392,845.882812,8.5703125,0.940936863543788,0,"accuracy",0.940936863543788,0.905037447545287,0.903109584901054,,
"ccle","classification","pcv_simpls","pcv","SIMPLS",26,"float64","float64","argmax","pcv","float64","simpls","simpls",10,254.5,2,147.669922,0.33203125,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,,
"cifar100","classification","pcv_simpls","pcv","SIMPLS",263,"float64","float64","argmax","pcv","float64","simpls","simpls",3,48096,133.5,1591,0.029296499999873,0.8912,0,"accuracy",0.8912,0.8912,0.88985913883586,,
"gtex_v8","classification","pcv_simpls","pcv","SIMPLS",190,"float64","float64","argmax","pcv","float64","simpls","simpls",3,2975,4.5,236.972656,0.201172000000014,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,,
"metref","classification","pcv_simpls","pcv","SIMPLS",118,"float64","float64","argmax","pcv","float64","simpls","simpls",10,195,1.5,142.5976565,0.308593500000029,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,,
"retina","classification","pcv_simpls","pcv","SIMPLS",30,"float64","float64","argmax","pcv","float64","simpls","simpls",10,197.5,2,152.171875,0.227539500000006,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,,
"tabula","classification","pcv_simpls","pcv","SIMPLS",44,"float64","float64","argmax","pcv","float64","simpls","simpls",10,896,6.25,305.5742185,0.222655999999972,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,,
"tcga_brca","classification","pcv_simpls","pcv","SIMPLS",7,"float64","float64","argmax","pcv","float64","simpls","simpls",10,236,1.75,149.7089845,0.327148749999992,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,,
"tcga_hnsc_methylation","classification","pcv_simpls","pcv","SIMPLS",2,"float64","float64","argmax","pcv","float64","simpls","simpls",10,98,0.75,120.712891,0.387695249999993,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","pcv_simpls","pcv","SIMPLS",185,"float64","float64","argmax","pcv","float64","simpls","simpls",3,2424,44,211.742188,0.417968499999972,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,,
"ccle","classification","pls_simpls_fit","pls","SIMPLS",26,"float64","float64","argmax","pls","float64","simpls","simpls",10,57,0.75,139.207031,0.265625499999999,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,,
"gtex_v8","classification","pls_simpls_fit","pls","SIMPLS",190,"float64","float64","argmax","pls","float64","simpls","simpls",3,2839,12,692.191406,0.128905999999915,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,,
"metref","classification","pls_simpls_fit","pls","SIMPLS",118,"float64","float64","argmax","pls","float64","simpls","simpls",10,239,10,157.1523435,0.176757500000008,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,,
"retina","classification","pls_simpls_fit","pls","SIMPLS",30,"float64","float64","argmax","pls","float64","simpls","simpls",10,425,2.75,356.9238285,0.475585749999993,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,,
"tabula","classification","pls_simpls_fit","pls","SIMPLS",44,"float64","float64","argmax","pls","float64","simpls","simpls",3,2575,7.5,1978.660156,0.125,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,,
"tcga_brca","classification","pls_simpls_fit","pls","SIMPLS",7,"float64","float64","argmax","pls","float64","simpls","simpls",10,27,0,121.5332035,0.155273499999993,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,,
"tcga_hnsc_methylation","classification","pls_simpls_fit","pls","SIMPLS",2,"float64","float64","argmax","pls","float64","simpls","simpls",10,13,0,106.71875,0.258789000000007,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","pls_simpls_fit","pls","SIMPLS",185,"float64","float64","argmax","pls","float64","simpls","simpls",3,2478,6.5,661.574219,0.1796875,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,,
"ccle","classification","plsdepot_simpls","plsdepot","SIMPLS",26,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,2939,7.5,160.265625,0.238281000000029,0.746478873239437,0,"accuracy",0.746478873239437,0.641137566137566,0.633166551644813,,
"cifar100","classification","plsdepot_simpls","plsdepot","SIMPLS",263,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,2097960,2745.5,3408.214844,0.236328500000127,0.8704,0,"accuracy",0.8704,0.8704,0.866232639504298,,
"gtex_v8","classification","plsdepot_simpls","plsdepot","SIMPLS",190,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,37806,190,351,0.208984500000042,0.938519447929737,0,"accuracy",0.938519447929737,0.753705869542005,0.754070138219657,,
"metref","classification","plsdepot_simpls","plsdepot","SIMPLS",118,"float64","float64","argmax","plsdepot","float64","simpls","simpls",3,1238,6,145.492188,0.130859500000014,0.84,0,"accuracy",0.84,0.847619047619048,0.816347541347541,,
"retina","classification","plsdepot_simpls","plsdepot","SIMPLS",30,"float64","float64","argmax","plsdepot","float64","simpls","simpls",10,745,6.5,244.0996095,0.526366999999993,0.948719093100063,0,"accuracy",0.948719093100063,0.814275305994087,0.882815713025394,,
