"method_id","dataset","task_type","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2","reps_attempted","reps_ok_status","n_timeout","n_error","n_skipped","method_label","dataset_label","status_label","time_sec","accuracy_label","time_label","rss_label"
"fastPLS_simpls_cpu_irlba","tcga_brca","classification","fastPLS","SIMPLS",7,"float64","float64","argmax","argmax","float64","simpls","simpls",10,26.9999999999999,0.999999999999901,465.1992185,0.25390625,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / argmax","TCGA-BRCA","",0.0269999999999999,"0.852","0.03","465"
"fastPLS_simpls_cpu_irlba","tcga_hnsc_methylation","classification","fastPLS","SIMPLS",2,"float64","float64","argmax","argmax","float64","simpls","simpls",10,18.5,0.999999999999901,461.3671875,0.613280750000001,1,0,"accuracy",1,1,1,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / argmax","TCGA-HNSC methyl.","",0.0185,"1.000","0.02","461"
"fastPLS_simpls_cpu_irlba","tcga_pan_cancer","classification","fastPLS","SIMPLS",185,"float64","float64","argmax","argmax","float64","simpls","simpls",10,798.5,8,498.027344,0.146483999999987,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / argmax","TCGA Pan-Cancer","",0.7985,"0.941","0.80","498"
"fastPLS_simpls_cpu_irlba_lda","ccle","classification","fastPLS","SIMPLS + LDA",26,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,54.9999999999999,1.49999999999993,463.6875,0.549804999999992,0.774647887323944,0,"accuracy",0.774647887323944,0.685582010582011,0.705659772326439,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / LDA","CCLE","",0.0549999999999999,"0.775","0.05","464"
"fastPLS_simpls_cpu_irlba_lda","cifar100","classification","fastPLS","SIMPLS + LDA",263,"float64","float64","lda","cpp_project","float64","simpls","simpls",3,23343,12.5,1686.828125,0.417969000000085,0.8847,0,"accuracy",0.8847,0.8847,0.888974693902574,NA,NA,3,3,0,0,0,"fastPLS SIMPLS / LDA","CIFAR-100","",23.343,"0.885","23","1687"
"fastPLS_simpls_cpu_irlba_lda","gtex_v8","classification","fastPLS","SIMPLS + LDA",190,"float64","float64","lda","cpp_project","float64","simpls","simpls",3,1286,12,502.039062,1.89257799999996,0.969887076537014,0,"accuracy",0.969887076537014,0.867805915711538,0.87156122383465,NA,NA,3,3,0,0,0,"fastPLS SIMPLS / LDA","GTEx v8","",1.286,"0.970","1.29","502"
"fastPLS_simpls_cpu_irlba_lda","metref","classification","fastPLS","SIMPLS + LDA",118,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,99.0000000000001,0.750000000000057,465.714844,0.177734250000015,0.99,0,"accuracy",0.99,0.988636363636364,0.988455988455988,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / LDA","MetRef","",0.0990000000000001,"0.990","0.10","466"
"fastPLS_simpls_cpu_irlba_lda","retina","classification","fastPLS","SIMPLS + LDA",30,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,90.0000000000001,0.749999999999929,494.7167965,0.301758250000034,0.969115415513702,0,"accuracy",0.969115415513702,0.909706872612551,0.936189749405791,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / LDA","Retina","",0.0900000000000001,"0.969","0.09","495"
"fastPLS_simpls_cpu_irlba_lda","tabula","classification","fastPLS","SIMPLS + LDA",44,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,285.5,1,599.751953,0.184570000000008,0.874528056892866,0,"accuracy",0.874528056892866,0.812762740967671,0.808052487455842,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / LDA","Tabula Muris","",0.2855,"0.875","0.29","600"
"fastPLS_simpls_cpu_irlba_lda","tcga_brca","classification","fastPLS","SIMPLS + LDA",7,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,29,1.0000000000001,464.412109,0.249023000000022,0.863636363636364,0,"accuracy",0.863636363636364,0.876965669988926,0.846635282295501,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / LDA","TCGA-BRCA","",0.029,"0.864","0.03","464"
"fastPLS_simpls_cpu_irlba_lda","tcga_hnsc_methylation","classification","fastPLS","SIMPLS + LDA",2,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,18.9999999999999,1.49213974509621e-13,461.5585935,0.190429249999966,0.982758620689655,0,"accuracy",0.982758620689655,0.990566037735849,0.94978354978355,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / LDA","TCGA-HNSC methyl.","",0.0189999999999999,"0.983","0.02","462"
"fastPLS_simpls_cpu_irlba_lda","tcga_pan_cancer","classification","fastPLS","SIMPLS + LDA",185,"float64","float64","lda","cpp_project","float64","simpls","simpls",3,1031,11,497.730469,1.3125,0.934826883910387,0,"accuracy",0.934826883910387,0.915076535238949,0.908787422146443,NA,NA,3,3,0,0,0,"fastPLS SIMPLS / LDA","TCGA Pan-Cancer","",1.031,"0.935","1.03","498"
"mdatools_plsda_or_pls","ccle","classification","mdatools","SIMPLS/PLS-DA",26,"float64","float64","argmax","mdatools","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,740.5,3.5,206.2441405,0.235352000000034,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,NA,NA,10,10,0,0,0,"mdatools / PLS-DA","CCLE","",0.7405,"0.718","0.74","206"
"mdatools_plsda_or_pls","cifar100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,2,"mdatools / PLS-DA","CIFAR-100","NE",NA,"","",""
