"split","split_seed","n_inner_train","n_inner_validation","best_ncomp","best_RMSD","best_Q2"
1,123,960,240,5,0.00155772987062714,0.628446453473891
2,456,960,240,5,0.00144458529066687,0.712400382964791
3,789,960,240,5,0.00154660602878553,0.654472622269652
4,1011,960,240,5,0.0014866925585083,0.637194557002559
5,2027,960,240,5,0.00150656858572527,0.668718080478989
