"split","split_seed","ncomp","RMSD","MAE","Q2","fit_time_sec","score_time_sec","status","error"
1,123,1,0.00193363683045319,0.000425592968380743,0.427484914735186,2.219,0.263,"ok",""
1,123,2,0.00167220725104893,0.00037577423329606,0.571828930363186,2.219,0.263,"ok",""
1,123,3,0.00160011171398444,0.000358280269383165,0.607953370579196,2.219,0.269,"ok",""
1,123,5,0.00155772987062714,0.000342110300143215,0.628446453473891,2.219,0.276,"ok",""
1,123,10,0.00158220545947286,0.000368528980133224,0.616678770283762,2.219,0.299000000000001,"ok",""
1,123,25,0.00164468957752059,0.000428174683689788,0.58580486279018,2.219,0.362,"ok",""
1,123,50,0.00166264560003766,0.000460900587079441,0.576711480137256,2.219,0.474,"ok",""
1,123,75,0.00166822719238708,0.00047469237393166,0.573864704260256,2.219,0.586,"ok",""
1,123,100,0.00167019771154098,0.000481638774388548,0.572857402976644,2.219,0.696,"ok",""
1,123,125,0.00167108526709474,0.000485839827026232,0.572403308813661,2.219,0.807,"ok",""
1,123,150,0.00167156802349228,0.000488499502677696,0.572156218064726,2.219,0.911999999999999,"ok",""
1,123,165,0.00167174602228355,0.000489462656256163,0.572065094365624,2.219,0.986000000000001,"ok",""
1,123,175,0.00167185159021208,0.000490063209407357,0.572011045930839,2.219,1.033,"ok",""
1,123,200,0.00167202469892544,0.000491064451180608,0.571922410727464,2.219,1.162,"ok",""
1,123,250,0.00167224968832693,0.000492342402561543,0.571807197835399,2.219,1.372,"ok",""
1,123,300,0.00167235734579355,0.000492951474461628,0.571752062963493,2.219,1.592,"ok",""
2,456,1,0.00185376202090527,0.000419169853723567,0.526401970039124,1.941,0.252000000000002,"ok",""
2,456,2,0.00157681046240124,0.000364654187537696,0.657341971024475,1.941,0.256,"ok",""
2,456,3,0.00150865034097672,0.000349871822272096,0.686325570244689,1.941,0.262,"ok",""
2,456,5,0.00144458529066687,0.000326525555732741,0.712400382964791,1.941,0.271000000000001,"ok",""
2,456,10,0.00146297297545169,0.000363901929936361,0.70503225086835,1.941,0.292999999999999,"ok",""
2,456,25,0.0015212645371502,0.000420881198635235,0.681058223177728,1.941,0.356000000000002,"ok",""
2,456,50,0.00154387795210107,0.000450080623637514,0.671505685771195,1.941,0.469999999999999,"ok",""
2,456,75,0.00155105631823747,0.000465345047043201,0.668443870656669,1.941,0.637,"ok",""
2,456,100,0.00155318598737503,0.00047203810871156,0.667532763040048,1.941,0.749000000000002,"ok",""
2,456,125,0.00155422592769323,0.000476299193754938,0.66708740513099,1.941,0.859000000000002,"ok",""
2,456,150,0.00155472602614729,0.000478822772430742,0.666873130157962,1.941,0.971,"ok",""
2,456,165,0.0015549104759167,0.000479779241137405,0.666794082379558,1.941,1.038,"ok",""
2,456,175,0.00155501393975484,0.000480365002615383,0.666749737819999,1.941,1.077,"ok",""
2,456,200,0.00155521151973556,0.000481397742782273,0.66666504692208,1.941,1.178,"ok",""
2,456,250,0.00155542697358088,0.000482580256853258,0.666572682287119,1.941,1.397,"ok",""
2,456,300,0.00155554767760367,0.000483244890491091,0.666520931120625,1.941,1.61799999999999,"ok",""
3,789,1,0.00188224832473935,0.000412562094165456,0.488227547341589,1.951,0.309000000000005,"ok",""
3,789,2,0.00162668007332969,0.000358287406285704,0.617767720876719,1.951,0.313000000000002,"ok",""
3,789,3,0.00156181845431632,0.000341680296436692,0.647641975098933,1.951,0.316000000000003,"ok",""
3,789,5,0.00154660602878553,0.00033516137610827,0.654472622269652,1.951,0.323999999999998,"ok",""
3,789,10,0.0015838573884173,0.000369337272921144,0.637627513162141,1.951,0.345000000000006,"ok",""
3,789,25,0.00167974979662958,0.000441427466637756,0.592420566748536,1.951,0.414000000000001,"ok",""
3,789,50,0.00170326563969786,0.000474283378674619,0.580928778910359,1.951,0.529000000000003,"ok",""
3,789,75,0.00171010588404529,0.00048695969838459,0.577556074786594,1.951,0.643999999999998,"ok",""
3,789,100,0.00171288947758633,0.000494678194424257,0.576179704788201,1.951,0.748000000000005,"ok",""
3,789,125,0.00171463040911587,0.000499662163541118,0.575317749495479,1.951,0.857999999999997,"ok",""
3,789,150,0.00171527143504991,0.000502289338964879,0.575000149594315,1.951,0.972000000000001,"ok",""
3,789,165,0.00171550061618811,0.00050350647433967,0.574886571702793,1.951,1.044,"ok",""
3,789,175,0.00171561649384665,0.000504046026319595,0.574829139123691,1.951,1.084,"ok",""
3,789,200,0.00171589984170367,0.000505213005749221,0.574688686754381,1.951,1.176,"ok",""
3,789,250,0.00171622309572798,0.000506738523401126,0.57452842501842,1.951,1.418,"ok",""
3,789,300,0.0017163771117228,0.000507521554542899,0.574452056895418,1.951,1.643,"ok",""
4,1011,1,0.00188488659506292,0.000419479676184422,0.41682095497661,1.95500000000001,0.308,"ok",""
4,1011,2,0.00163273996584087,0.00037075719464565,0.562411897429622,1.95500000000001,0.312000000000005,"ok",""
4,1011,3,0.00154679229292615,0.000350872774077526,0.607268751976016,1.95500000000001,0.317999999999998,"ok",""
4,1011,5,0.0014866925585083,0.000335832313472277,0.637194557002559,1.95500000000001,0.324999999999996,"ok",""
4,1011,10,0.00150815096041566,0.000360360355239264,0.626645759167399,1.95500000000001,0.348999999999997,"ok",""
4,1011,25,0.00157094254547875,0.000426610229418786,0.594909496447189,1.95500000000001,0.414999999999999,"ok",""
4,1011,50,0.00158632430554911,0.000452066941249691,0.586937836188571,1.95500000000001,0.529999999999994,"ok",""
4,1011,75,0.00159301964781854,0.000466776879963581,0.583443684489078,1.95500000000001,0.649999999999999,"ok",""
4,1011,100,0.00159477501690369,0.000472956287374206,0.582525161049117,1.95500000000001,0.751000000000005,"ok",""
4,1011,125,0.001595749474531,0.000476912429213581,0.582014824701947,1.95500000000001,0.859000000000002,"ok",""
4,1011,150,0.00159624082157553,0.000479267165308335,0.581757381535039,1.95500000000001,0.966000000000001,"ok",""
4,1011,165,0.00159642402691791,0.000480205867664553,0.581661370108347,1.95500000000001,1.036,"ok",""
4,1011,175,0.0015965110282982,0.000480697177008487,0.581615771909668,1.95500000000001,1.085,"ok",""
4,1011,200,0.0015967052950394,0.000481664632950131,0.581513946010357,1.95500000000001,1.17899999999999,"ok",""
4,1011,250,0.00159691353710838,0.00048281592598749,0.581404781113361,1.95500000000001,1.398,"ok",""
4,1011,300,0.00159702934466822,0.000483471438402551,0.581344066181113,1.95500000000001,1.633,"ok",""
5,2027,1,0.00185789046422339,0.000403518271371059,0.49619771803062,1.94800000000001,0.306000000000012,"ok",""
5,2027,2,0.00162721303564376,0.000357121289060155,0.613536263588915,1.94800000000001,0.311999999999998,"ok",""
5,2027,3,0.00154665304122069,0.000339155986715945,0.650855087091978,1.94800000000001,0.326000000000008,"ok",""
5,2027,5,0.00150656858572527,0.000322894431868657,0.668718080478989,1.94800000000001,0.329999999999998,"ok",""
5,2027,10,0.00154021110961485,0.000357703382725032,0.653757462233073,1.94800000000001,0.350999999999999,"ok",""
5,2027,25,0.00161662124272469,0.000421868696462789,0.618550999408596,1.94800000000001,0.421999999999997,"ok",""
5,2027,50,0.00164251557214009,0.000451319926404406,0.606233368697924,1.94800000000001,0.543000000000006,"ok",""
5,2027,75,0.00165219644810689,0.00047028724651832,0.601578021941772,1.94800000000001,0.649000000000001,"ok",""
5,2027,100,0.00165534224574807,0.00047840021136669,0.600059379143567,1.94800000000001,0.754999999999995,"ok",""
5,2027,125,0.0016567202114514,0.000483354778665877,0.599393252437995,1.94800000000001,0.871000000000009,"ok",""
5,2027,150,0.00165736075079936,0.000486315289391013,0.599083418600394,1.94800000000001,0.974000000000004,"ok",""
5,2027,165,0.00165763318115533,0.00048757517248449,0.598951605627679,1.94800000000001,1.04600000000001,"ok",""
5,2027,175,0.00165774607254677,0.000488108072160394,0.598896977796273,1.94800000000001,1.083,"ok",""
5,2027,200,0.00165802724006155,0.000489201237896009,0.598760905443864,1.94800000000001,1.22499999999999,"ok",""
5,2027,250,0.00165832646639,0.000490517753169344,0.598616068094992,1.94800000000001,1.428,"ok",""
5,2027,300,0.00165848414507668,0.000491208818353282,0.598539734874233,1.94800000000001,1.64,"ok",""
