"ncomp","n_success","RMSD_mean","RMSD_se","RMSD_median","RMSD_q25","RMSD_q75","RMSD_min","RMSD_max","Q2_median","Q2_q25","Q2_q75","one_se_eligible"
1,5,0.00188248484707682,1.42341739324129e-05,0.00188224832473935,0.00185789046422339,0.00188488659506292,0.00185376202090527,0.00193363683045319,0.488227547341589,0.427484914735186,0.49619771803062,FALSE
2,5,0.0016271301576529,1.51586534227485e-05,0.00162721303564376,0.00162668007332969,0.00163273996584087,0.00157681046240124,0.00167220725104893,0.613536263588915,0.571828930363186,0.617767720876719,FALSE
3,5,0.00155280516868486,1.47356721991505e-05,0.00154679229292615,0.00154665304122069,0.00156181845431632,0.00150865034097672,0.00160011171398444,0.647641975098933,0.607953370579196,0.650855087091978,FALSE
5,5,0.00150843646686262,2.05426560406925e-05,0.00150656858572527,0.0014866925585083,0.00154660602878553,0.00144458529066687,0.00155772987062714,0.654472622269652,0.637194557002559,0.668718080478989,TRUE
10,5,0.00153547957867447,2.29675517674169e-05,0.00154021110961485,0.00150815096041566,0.00158220545947286,0.00146297297545169,0.0015838573884173,0.637627513162141,0.626645759167399,0.653757462233073,FALSE
25,5,0.00160665353990076,2.77990241901687e-05,0.00161662124272469,0.00157094254547875,0.00164468957752059,0.0015212645371502,0.00167974979662958,0.594909496447189,0.592420566748536,0.618550999408596,FALSE
50,5,0.00162772581390516,2.81859384412265e-05,0.00164251557214009,0.00158632430554911,0.00166264560003766,0.00154387795210107,0.00170326563969786,0.586937836188571,0.580928778910359,0.606233368697924,FALSE
75,5,0.00163492109811906,2.81509489264926e-05,0.00165219644810689,0.00159301964781854,0.00166822719238708,0.00155105631823747,0.00171010588404529,0.583443684489078,0.577556074786594,0.601578021941772,FALSE
100,5,0.00163727808783082,2.82887699313187e-05,0.00165534224574807,0.00159477501690369,0.00167019771154098,0.00155318598737503,0.00171288947758633,0.582525161049117,0.576179704788201,0.600059379143567,FALSE
125,5,0.00163848225797725,2.83895579802359e-05,0.0016567202114514,0.001595749474531,0.00167108526709474,0.00155422592769323,0.00171463040911587,0.582014824701947,0.575317749495479,0.599393252437995,FALSE
150,5,0.00163903341141287,2.84126464409186e-05,0.00165736075079936,0.00159624082157553,0.00167156802349228,0.00155472602614729,0.00171527143504991,0.581757381535039,0.575000149594315,0.599083418600394,FALSE
165,5,0.00163924286449232,2.84212141904214e-05,0.00165763318115533,0.00159642402691791,0.00167174602228355,0.0015549104759167,0.00171550061618811,0.581661370108347,0.574886571702793,0.598951605627679,FALSE
175,5,0.00163934782493171,2.84245452607507e-05,0.00165774607254677,0.0015965110282982,0.00167185159021208,0.00155501393975484,0.00171561649384665,0.581615771909668,0.574829139123691,0.598896977796273,FALSE
200,5,0.00163957371909313,2.84376141600033e-05,0.00165802724006155,0.0015967052950394,0.00167202469892544,0.00155521151973556,0.00171589984170367,0.581513946010357,0.574688686754381,0.598760905443864,FALSE
250,5,0.00163982795222683,2.84558905763842e-05,0.00165832646639,0.00159691353710838,0.00167224968832693,0.00155542697358088,0.00171622309572798,0.581404781113361,0.57452842501842,0.598616068094992,FALSE
300,5,0.00163995912497298,2.84611913533794e-05,0.00165848414507668,0.00159702934466822,0.00167235734579355,0.00155554767760367,0.0017163771117228,0.581344066181113,0.574452056895418,0.598539734874233,FALSE
