"source","task_type","prediction_relative_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","metric_absolute_difference"
"real","classification",6.94775988222617e-06,9.94524849461224e-06,0.000882861811442562,0.000867665924238095,0.000910044614510424,0
"synthetic","classification",2.5517452659326e-08,4.91160162260612e-08,2.09130978915187e-06,3.07832465919998e-06,2.56132093875478e-06,0
"real","regression",8.25495797027978e-14,9.85433664587835e-13,2.25887274392255e-06,1.70754729250319e-06,1.70754729250319e-06,4.20670442924376e-17
"synthetic","regression",1.0936962485674e-05,1.12947771309997e-05,0.00143004307773799,0.00145085159863399,0.00140562390137557,1.92168483037491e-06
