"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","n_train","n_test","p","q","response_rank","ncomp","coefficient_identifiable","fastpls_elapsed_sec","reference_elapsed_sec","prediction_correlation","prediction_relative_error","prediction_max_absolute_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","fastpls_metric","reference_metric","metric_absolute_difference","classification_label_agreement","deterministic_tolerance_pass","approximation_tolerance_pass","status","error_message"
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"irlba",NA,NA,NA,180,60,80,8,8,10,TRUE,0.00700000000000145,0.000999999999999446,1,4.0465579656551e-11,4.02313737879467e-10,8.05429362389522e-11,1.20741826972573e-06,1.70754729250319e-06,1.70754729250319e-06,1.60226421190208,1.60226421190446,2.38298270005544e-12,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,150,50,100,8,8,2,FALSE,0.00600000000000023,0.00100000000000122,1,2.80191553708815e-15,1.86517468137026e-14,2.13777813085783e-15,0,0,0,1.83080027154579,1.83080027154579,4.44089209850063e-16,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,150,50,100,8,8,5,FALSE,0.00600000000000023,0.00100000000000122,1,1.71905991053528e-15,2.35367281220533e-14,1.52827385146557e-15,2.09130978915187e-06,1.70754729250319e-06,1.20741826972573e-06,0.0530334319608362,0.0530334319608361,1.11022302462516e-16,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,150,50,100,8,8,7,FALSE,0.00600000000000023,0.00100000000000122,0.999999999999999,6.88397712261611e-10,6.92245372135858e-09,9.09088818136673e-08,1.4787793334711e-06,1.70754729250319e-06,2.09130978915187e-06,0.0548470659610773,0.0548470658797375,8.13397890708778e-11,NA,TRUE,NA,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,150,50,100,8,8,10,FALSE,0.00600000000000023,0.00100000000000122,1,1.28862904796736e-09,1.37376998665673e-08,1.254943384419e-07,1.70754729250319e-06,1.70754729250319e-06,1.4787793334711e-06,0.0582522603731366,0.0582522597010047,6.72131954260191e-10,NA,TRUE,NA,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,300,100,40,4,3,1,TRUE,0.00500000000000256,0.000999999999997669,1,5.71187020164838e-16,6.66133814775094e-16,1.08383733190622e-15,8.53773646251594e-07,0,1.70754729250319e-06,0.5,0.5,0,1,TRUE,NA,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,300,100,40,4,3,2,TRUE,0.00500000000000256,0.000999999999997669,1,3.77579037163353e-16,6.66133814775094e-16,4.7159101419394e-16,1.4787793334711e-06,1.4787793334711e-06,1.70754729250319e-06,0.77,0.77,0,1,TRUE,NA,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,300,100,40,4,3,3,TRUE,0.00500000000000256,0.000999999999997669,0.999999999999999,2.69080454274875e-15,4.38538094726937e-15,7.32231797172571e-15,1.70754729250319e-06,1.70754729250319e-06,1.70754729250319e-06,0.85,0.85,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,120,60,300,12,11,1,FALSE,0.0100000000000016,0.00199999999999889,1,2.2122058163299e-10,9.19821996347991e-11,3.75866007755446e-10,0,0,1.70754729250319e-06,0.133333333333333,0.133333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,120,60,300,12,11,3,FALSE,0.0100000000000016,0.00199999999999889,1,5.5951376798368e-10,4.25949830962224e-10,9.0145154537856e-10,0,0,1.70754729250319e-06,0.383333333333333,0.383333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,120,60,300,12,11,6,FALSE,0.0100000000000016,0.00199999999999889,1,7.86107596649702e-11,8.61421628473025e-11,1.39734304034866e-10,0,0,1.70754729250319e-06,0.783333333333333,0.783333333333333,0,1,TRUE,NA,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,120,60,300,12,11,8,FALSE,0.0100000000000016,0.00199999999999889,1,4.68339305153546e-11,3.90724674836918e-11,7.26343966372593e-11,1.20741826972573e-06,0,1.70754729250319e-06,0.866666666666667,0.866666666666667,0,1,TRUE,NA,"ok",""
