"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","folds","fastpls_selected_ncomp","reference_selected_ncomp","selected_component_agreement","maximum_cv_curve_absolute_difference","fastpls_selected_metric","reference_selected_metric","status","error_message"
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok",""
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",1,20,2,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",7,20,2,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok",""
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,20,2,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,20,2,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,20,2,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,20,2,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok",""
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,20,2,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok",""
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,5,2,2,TRUE,0,0.98,0.98,"ok",""
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,20,2,5,2,2,TRUE,0,0.98,0.98,"ok",""
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,20,2,5,2,2,TRUE,0,0.98,0.98,"ok",""
"Breast","real","classification","p_greater_than_n",123,"rsvd",19,20,2,5,2,2,TRUE,0,0.98,0.98,"ok",""
"Breast","real","classification","p_greater_than_n",123,"rsvd",43,20,2,5,2,2,TRUE,0,0.98,0.98,"ok",""
"Breast","real","classification","p_greater_than_n",123,"rsvd",123,20,2,5,2,2,TRUE,0,0.98,0.98,"ok",""
"Colon","real","classification","p_much_greater_than_n",123,"irlba",NA,NA,NA,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok",""
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",1,20,2,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok",""
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",7,20,2,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok",""
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",19,20,2,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok",""
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",43,20,2,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok",""
"Colon","real","classification","p_much_greater_than_n",123,"rsvd",123,20,2,5,8,8,TRUE,0,0.895555555555556,0.895555555555556,"ok",""
"MetRef","real","classification","p_less_than_n_multiclass",123,"irlba",NA,NA,NA,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok",""
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",1,20,2,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok",""
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",7,20,2,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok",""
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",19,20,2,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok",""
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",43,20,2,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok",""
"MetRef","real","classification","p_less_than_n_multiclass",123,"rsvd",123,20,2,5,18,18,TRUE,0,0.877889649000208,0.877889649000208,"ok",""
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"irlba",NA,NA,NA,5,15,15,TRUE,4.20670442924376e-17,0.00240210094760697,0.00240210094760701,"ok",""
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",1,20,2,5,15,15,TRUE,3.814223242804e-15,0.00240210094761083,0.00240210094760701,"ok",""
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",7,20,2,5,15,15,TRUE,8.13498574059324e-15,0.00240210094759888,0.00240210094760701,"ok",""
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",19,20,2,5,15,15,TRUE,1.114169520533e-14,0.00240210094759587,0.00240210094760701,"ok",""
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",43,20,2,5,15,15,TRUE,1.68636805908395e-14,0.00240210094759015,0.00240210094760701,"ok",""
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,"rsvd",123,20,2,5,15,15,TRUE,3.24193796807926e-14,0.00240210094763943,0.00240210094760701,"ok",""
