"package_version","dataset","family","task_type","selection_metric","ncomp","metric_value","kfold","seed","control_profile","oversample","power"
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",40,1139.16217420659,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",41,1136.7675762358,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",42,1138.72476856967,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",43,1136.68854744334,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",44,1133.94043269019,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",45,1134.09492225396,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",46,1132.5370105115,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",47,1130.82074367979,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",48,1130.66682202895,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",49,1129.70739117127,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",50,1132.41866304321,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",51,1135.57266595159,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",52,1136.11362375446,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",53,1139.42487581994,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",54,1144.95823193207,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",55,1145.65523955407,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",56,1148.45194542082,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",57,1150.94706214541,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",58,1154.76013997007,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",59,1154.34964288129,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",60,1155.6807627257,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",61,1157.38420555647,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",62,1157.2734933522,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",63,1157.56945659816,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",64,1154.92071948305,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",65,1157.30197759649,10,123,"ordinary_fast",32,5
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",66,1157.26773840573,10,123,"ordinary_fast",32,5
