"dataset","backend","solver","oversample","power","randomized_seed","ncomp","reference_time_sec","candidate_time_sec","prediction_relative_error","prediction_correlation","label_agreement","reference_metric","candidate_metric","metric_absolute_difference","approximation_tolerance_pass","diagnostic_status","gpu_resident"
"synthetic_high_rank_response","cuda","rsvd",10,2,1,20,0.014,0.024,0.0439069155043902,0.999037283076057,NA,0.491227243006608,0.49290423815355,0.00167699514694153,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,7,2,0.014,0.024,0.00671659374869134,0.999977784451478,NA,0.88724208693186,0.887166133641165,7.59532906948746e-05,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,7,5,0.014,0.024,0.0209051947795295,0.999781486290406,NA,0.779663278379691,0.779733674593482,7.0396213791013e-05,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,7,10,0.014,0.024,0.036366959536622,0.999342035959745,NA,0.674384388881327,0.673401270226787,0.00098311865454026,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,7,20,0.014,0.024,0.0492188352844938,0.998791510451398,NA,0.491227243006608,0.494746870326876,0.00351962732026828,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,19,2,0.014,0.0230000000000001,0.00607398325341058,0.999981555125183,NA,0.88724208693186,0.887143985858749,9.81010731115894e-05,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,19,5,0.014,0.0230000000000001,0.0140712943236303,0.99990111008428,NA,0.779663278379691,0.779229800560997,0.000433477818693517,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,19,10,0.014,0.0230000000000001,0.0293777449005089,0.999569020497706,NA,0.674384388881327,0.67466494492037,0.000280556039042201,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,19,20,0.014,0.0230000000000001,0.0352754517405862,0.999378079664939,NA,0.491227243006608,0.490656321308564,0.00057092169804368,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,43,2,0.014,0.0230000000000001,0.00720184584667121,0.999974530075897,NA,0.88724208693186,0.887182421608678,5.96653231828004e-05,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,43,5,0.014,0.0230000000000001,0.0102978898746255,0.999947014846961,NA,0.779663278379691,0.779771966368777,0.000108687989086476,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,43,10,0.014,0.0230000000000001,0.0288543878779224,0.999583792761583,NA,0.674384388881327,0.675547782472387,0.00116339359105966,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,43,20,0.014,0.0230000000000001,0.0541554042791304,0.998535670250595,NA,0.491227243006608,0.490755580589168,0.000471662417440233,FALSE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,123,2,0.014,0.0229999999999997,0.0150618063888876,0.999886653935156,NA,0.88724208693186,0.88687408265061,0.0003680042812505,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,123,5,0.014,0.0229999999999997,0.0245752198311359,0.999698976409932,NA,0.779663278379691,0.779465919162502,0.000197359217188997,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,123,10,0.014,0.0229999999999997,0.0443794377193808,0.999014893313889,NA,0.674384388881327,0.675574108964872,0.00118972008354445,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,2,123,20,0.014,0.0229999999999997,0.0375940332779787,0.999292970381879,NA,0.491227243006608,0.492125176262886,0.000897933256278294,TRUE,"basic_checks_passed_unqualified_configuration",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,1,2,0.014,0.0249999999999999,0.000419810186321439,0.999999911879423,NA,0.88724208693186,0.88724039467971,1.69225215074231e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,1,5,0.014,0.0249999999999999,0.000428189823745232,0.999999908271176,NA,0.779663278379691,0.779655270413163,8.00796652844493e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,1,10,0.014,0.0249999999999999,0.000754490853876588,0.999999715314837,NA,0.674384388881327,0.674358336702446,2.60521788810752e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,1,20,0.014,0.0249999999999999,0.00253246427970982,0.999996802129526,NA,0.491227243006608,0.491265057266213,3.7814259604807e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,7,2,0.014,0.0249999999999999,0.000100551003489295,0.999999994978543,NA,0.88724208693186,0.88724058851026,1.4984216003544e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,7,5,0.014,0.0249999999999999,0.000416247000967071,0.999999913578284,NA,0.779663278379691,0.779665531947444,2.25356775329644e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,7,10,0.014,0.0249999999999999,0.00131704699536332,0.999999136842613,NA,0.674384388881327,0.674362079938548,2.23089427789924e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,7,20,0.014,0.0249999999999999,0.00251503107407602,0.999996842410372,NA,0.491227243006608,0.491312383730018,8.51407234103152e-05,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,19,2,0.014,0.024,6.50707165592621e-05,0.999999997883982,NA,0.88724208693186,0.887241061728874,1.0252029863933e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
"synthetic_high_rank_response","cuda","rsvd",10,4,19,5,0.014,0.024,0.000340649987312758,0.999999942008674,NA,0.779663278379691,0.779653670566635,9.607813056145e-06,TRUE,"basic_checks_passed_qualified_configuration_not_case_audited",TRUE
