"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"retina","kernelpls","lda","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,NA,1.5,0.0700000000000074,1.57000000000001,"ok",NA
"retina","kernelpls","lda","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.969663171983047,0.969663171983047,NA,NA,1.444,0.0700000000000074,1.51400000000001,"ok",NA
"retina","kernelpls","lda","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.969105509703324,0.969105509703324,NA,NA,1.44799999999999,0.070999999999998,1.51899999999999,"ok",NA
"retina","kernelpls","lda","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,NA,1.45700000000001,0.0859999999999843,1.54299999999999,"ok",NA
"retina","opls","argmax","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.951706446575954,0.951706446575954,NA,0.756278843707199,1.41,0.090999999999994,1.501,"ok",NA
"retina","opls","argmax","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.9528217711354,0.9528217711354,NA,0.763488600286767,1.387,0.088000000000001,1.475,"ok",NA
"retina","opls","argmax","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.953156368503234,0.953156368503234,NA,0.763343195319766,1.4,0.0919999999999987,1.492,"ok",NA
"retina","opls","argmax","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.953156368503234,0.953156368503234,NA,0.769194815511649,1.37700000000001,0.0900000000000034,1.46700000000001,"ok",NA
"retina","opls","argmax","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.946464421146554,0.946464421146554,NA,0.759678245966561,1.40300000000001,0.0870000000000033,1.49000000000001,"ok",NA
"retina","opls","argmax","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.949698862368949,0.949698862368949,NA,0.75538664015654,1.367,0.0859999999999985,1.453,"ok",NA
"retina","opls","argmax","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.95114878429623,0.95114878429623,NA,0.757763226459811,1.374,0.0879999999999939,1.46199999999999,"ok",NA
"retina","opls","argmax","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.952710238679456,0.952710238679456,NA,0.761482270830605,1.42400000000001,0.0889999999999986,1.51300000000001,"ok",NA
"retina","opls","argmax","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.952375641311622,0.952375641311622,NA,0.764636892420673,1.37,0.0879999999999939,1.458,"ok",NA
