"family","case","source","task","n_train","n_test","p","q","ncomp","north","kernel","solver","operator_relative_error","prediction_relative_error","prediction_correlation","coefficient_relative_error","max_predictive_score_angle_deg","max_orthogonal_score_angle_deg","label_agreement","fast_metric","reference_metric","metric_absolute_difference","status","error","setting","gamma","degree","coef0","passes_operator","passes_prediction","passes_coefficient","passes_predictive_subspace","passes_orthogonal_subspace","passes_labels","passes_metric","passes_all"
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"linear","deterministic_irlba",2.09852595732579e-16,8.04153909775507e-16,1,9.24686375783337e-16,8.53773646251594e-07,NA,NA,0.443886166909595,0.443886166909595,5.55111512312578e-17,"success",NA,"linear",0.00333333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"rbf","deterministic_irlba",1.69489611655633e-15,1.29862015169028e-15,1,1.31199715497e-15,1.4787793334711e-06,NA,NA,0.54378562933665,0.543785629336649,2.22044604925031e-16,"success",NA,"rbf_gamma_0.25_over_p",0.000833333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"rbf","deterministic_irlba",5.84537653816716e-16,1.24908696313171e-15,1,1.4112059909837e-15,0,NA,NA,0.850506246992758,0.850506246992758,3.33066907387547e-16,"success",NA,"rbf_gamma_1_over_p",0.00333333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"rbf","deterministic_irlba",5.86300214033306e-16,1.55549955700809e-15,1,1.96411194788518e-15,0,NA,NA,1.38040325230449,1.38040325230449,4.44089209850063e-16,"success",NA,"rbf_gamma_4_over_p",0.0133333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"poly","deterministic_irlba",5.19462613113996e-16,1.60845009130913e-15,1,1.74713802482804e-15,1.4787793334711e-06,NA,NA,0.550559137682485,0.550559137682485,5.55111512312578e-16,"success",NA,"poly_degree2_offset1",0.00333333333333333,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"poly","deterministic_irlba",3.92265169289277e-16,1.14334414551935e-15,1,1.5416030765304e-15,1.70754729250319e-06,NA,NA,0.755427534915932,0.755427534915932,0,"success",NA,"poly_degree3_offset1",0.00333333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"poly","deterministic_irlba",3.73193160515659e-16,1.19585569726623e-15,1,1.59642677835995e-15,1.4787793334711e-06,NA,NA,1.07471936609859,1.07471936609859,4.44089209850063e-16,"success",NA,"poly_degree4_offset1",0.00333333333333333,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_gt_n_ill_conditioned","synthetic","regression",80,40,300,8,5,NA,"poly","deterministic_irlba",2.19502602973876e-16,9.20145324527392e-16,1,1.45930532897311e-15,0,NA,NA,1.30539302478368,1.30539302478368,2.22044604925031e-16,"success",NA,"poly_degree3_offset0",0.00333333333333333,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,1,NA,"deterministic_irlba",3.76232504378647e-16,9.27423602413325e-16,1,1.21164538563593e-15,1.4787793334711e-06,8.53773646251594e-07,1,0.725,0.725,0,"success",NA,"north_1",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,2,NA,"deterministic_irlba",1.24588850481835e-15,3.33148229966699e-14,1,1.40533119116452e-13,8.53773646251594e-07,8.53773646251594e-07,1,0.6625,0.6625,0,"success",NA,"north_2",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,3,NA,"deterministic_irlba",9.4003714405019e-15,8.65210577277077e-14,0.999999999999999,3.13461458973632e-13,0,8.53773646251594e-07,1,0.6,0.6,0,"success",NA,"north_3",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"linear","deterministic_irlba",3.09843583227596e-16,7.11732106282737e-16,1,9.96542671420788e-16,8.53773646251594e-07,NA,1,0.825,0.825,0,"success",NA,"linear",0.0285714285714286,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"rbf","deterministic_irlba",2.3760245748978e-15,1.36027013673751e-15,1,1.79489628168713e-15,0,NA,1,0.8125,0.8125,0,"success",NA,"rbf_gamma_0.25_over_p",0.00714285714285714,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"rbf","deterministic_irlba",8.21909517957716e-16,2.12438482250572e-15,1,2.87089224862666e-15,8.53773646251594e-07,NA,1,0.7875,0.7875,0,"success",NA,"rbf_gamma_1_over_p",0.0285714285714286,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"rbf","deterministic_irlba",7.07505864978156e-16,7.85940982671515e-16,1,1.26534411025178e-15,0,NA,1,0.6375,0.6375,0,"success",NA,"rbf_gamma_4_over_p",0.114285714285714,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"poly","deterministic_irlba",6.60884047578909e-16,1.4106245180509e-15,1,1.81953999674552e-15,2.09130978915187e-06,NA,1,0.775,0.775,0,"success",NA,"poly_degree2_offset1",0.0285714285714286,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"poly","deterministic_irlba",4.1412254536048e-16,1.32458757214839e-15,1,1.61049456063849e-15,1.20741826972573e-06,NA,1,0.7,0.7,0,"success",NA,"poly_degree3_offset1",0.0285714285714286,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"poly","deterministic_irlba",2.92663433541065e-16,5.77175072703037e-16,1,9.7229577222583e-16,1.20741826972573e-06,NA,1,0.6125,0.6125,0,"success",NA,"poly_degree4_offset1",0.0285714285714286,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_lt_n","synthetic","classification",180,80,35,6,5,NA,"poly","deterministic_irlba",1.87181767291973e-16,1.06686001043165e-15,1,1.79429036161729e-15,2.41483653945147e-06,NA,1,0.675,0.675,0,"success",NA,"poly_degree3_offset0",0.0285714285714286,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,1,NA,"deterministic_irlba",3.42643811776596e-16,3.52653737808674e-15,1,3.9796682289669e-15,1.4787793334711e-06,1.20741826972573e-06,1,0.777777777777778,0.777777777777778,0,"success",NA,"north_1",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,2,NA,"deterministic_irlba",3.33016720411169e-15,4.14830056918373e-13,1,5.57823638950325e-13,1.70754729250319e-06,1.20741826972573e-06,1,0.533333333333333,0.533333333333333,0,"success",NA,"north_2",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,3,NA,"deterministic_irlba",1.56520115913204e-13,2.57416614611098e-13,1,4.3812166835392e-13,0,1.20741826972573e-06,1,0.466666666666667,0.466666666666667,0,"success",NA,"north_3",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"linear","deterministic_irlba",2.05905747882283e-16,1.28575112679251e-15,1,1.57286426641965e-15,1.90909591041642e-06,NA,1,0.844444444444444,0.844444444444444,0,"success",NA,"linear",0.004,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"rbf","deterministic_irlba",1.81445376115528e-15,6.8523382470054e-16,1,1.03015020491456e-15,8.53773646251594e-07,NA,1,0.844444444444444,0.844444444444444,0,"success",NA,"rbf_gamma_0.25_over_p",0.001,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"rbf","deterministic_irlba",5.34821766822479e-16,1.25997657455147e-15,1,2.05232884301926e-15,0,NA,1,0.844444444444444,0.844444444444444,0,"success",NA,"rbf_gamma_1_over_p",0.004,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"rbf","deterministic_irlba",7.29327911646131e-16,4.55025673485452e-16,1,9.08937387500586e-16,1.4787793334711e-06,NA,1,0.755555555555556,0.755555555555556,0,"success",NA,"rbf_gamma_4_over_p",0.016,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"poly","deterministic_irlba",5.03289599976071e-16,1.1586215754096e-15,1,1.55506986003113e-15,1.20741826972573e-06,NA,1,0.888888888888889,0.888888888888889,0,"success",NA,"poly_degree2_offset1",0.004,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"poly","deterministic_irlba",3.4489592808217e-16,6.85399948479116e-16,1,1.11629139265278e-15,1.70754729250319e-06,NA,1,0.822222222222222,0.822222222222222,0,"success",NA,"poly_degree3_offset1",0.004,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"poly","deterministic_irlba",2.58209435588196e-16,6.13839343250324e-16,1,9.61854229426069e-16,0,NA,1,0.755555555555556,0.755555555555556,0,"success",NA,"poly_degree4_offset1",0.004,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_classification_p_gt_n","synthetic","classification",90,45,250,6,5,NA,"poly","deterministic_irlba",1.52893429254956e-16,6.99865200481072e-16,1,9.26516920525463e-16,8.53773646251594e-07,NA,1,0.555555555555556,0.555555555555556,0,"success",NA,"poly_degree3_offset0",0.004,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","gasoline_real_regression","real","regression",42,18,401,1,5,1,NA,"exact_small_dimension_fallback",3.58630798264416e-17,5.20922011448178e-14,1,9.55358807822136e-12,1.20741826972573e-06,8.53773646251594e-07,NA,0.328878171752463,0.328878171749271,3.19216875155348e-12,"success",NA,"north_1",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","gasoline_real_regression","real","regression",42,18,401,1,5,2,NA,"exact_small_dimension_fallback",7.56603830445062e-17,3.42317720521005e-14,1,3.57024979772402e-12,8.53773646251594e-07,8.53773646251594e-07,NA,0.254302422267018,0.254302422267097,7.97695243193175e-14,"success",NA,"north_2",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","gasoline_real_regression","real","regression",42,18,401,1,5,3,NA,"exact_small_dimension_fallback",3.07237018001815e-15,5.37679739991003e-14,1,8.75398414890932e-12,0,8.53773646251594e-07,NA,0.336283996638216,0.336283996641138,2.92177393390602e-12,"success",NA,"north_3",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
