"family","setting","case","task","grid","fast_selected_ncomp","reference_selected_ncomp","selected_component_agreement","failed_folds"
"OPLS","north_2","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"OPLS","north_3","breast_real_classification","classification","1;2;3",2,2,TRUE,0
"kernelPLS","linear","breast_real_classification","classification","1;2;3",2,2,TRUE,0
"kernelPLS","rbf_gamma_0.25_over_p","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS","rbf_gamma_1_over_p","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS","rbf_gamma_4_over_p","breast_real_classification","classification","1;2;3",2,2,TRUE,0
"kernelPLS","poly_degree2_offset1","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS","poly_degree3_offset1","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS","poly_degree4_offset1","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS","poly_degree3_offset0","breast_real_classification","classification","1;2;3",3,3,TRUE,0
