"family","setting","case","task","component","fold","fast_metric","reference_metric","status","error"
"OPLS","north_3","synthetic_regression_p_lt_n","regression",1,2,1.60661902091358,1.60661902091358,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",1,3,1.81289422545879,1.81289422545879,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",1,4,1.70418909420448,1.70418909420448,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",1,5,1.96746200290305,1.96746200290305,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",2,1,1.42449455424034,1.42449455424034,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",2,2,1.3346832347995,1.3346832347995,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",2,3,1.45141887904051,1.45141887904051,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",2,4,1.4296386469281,1.42963864692809,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",2,5,1.35113289487805,1.35113289487805,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",3,1,1.27391977967538,1.27391977967538,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",3,2,1.12806529064534,1.12806529064534,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",3,3,1.37992909236781,1.37992909236781,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",3,4,1.22937381446129,1.22937381446128,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",3,5,1.06019667075771,1.06019667075771,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",4,1,1.27787407737257,1.27787407737243,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",4,2,1.12891124309491,1.12891124309492,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",4,3,1.37840875554893,1.37840875554896,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",4,4,1.22687467776474,1.22687467776474,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",4,5,1.06389861056275,1.06389861056274,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",5,1,1.28151327619932,1.28151327619911,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",5,2,1.12707207990832,1.12707207990831,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",5,3,1.37684292728518,1.37684292728518,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",5,4,1.22945228296474,1.22945228296476,"success",NA
"OPLS","north_3","synthetic_regression_p_lt_n","regression",5,5,1.06502966018426,1.06502966018425,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",1,1,1.78529200863656,1.78529200863656,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",1,2,1.66205163246569,1.66205163246569,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",1,3,1.93679933066162,1.93679933066162,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",1,4,1.75162439525389,1.75162439525389,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",1,5,1.996016888593,1.996016888593,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",2,1,1.35551601183532,1.35551601183532,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",2,2,1.26280376476476,1.26280376476476,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",2,3,1.36133166296371,1.36133166296371,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",2,4,1.36516402825081,1.36516402825081,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",2,5,1.48706334544514,1.48706334544514,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",3,1,1.05402455678473,1.05402455678473,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",3,2,1.02329763821118,1.02329763821118,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",3,3,1.06124165835133,1.06124165835133,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",3,4,1.04583592985057,1.04583592985057,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",3,5,1.21214578201523,1.21214578201523,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",4,1,0.847644524797387,0.847644524797387,"success",NA
"kernelPLS","linear","synthetic_regression_p_lt_n","regression",4,2,0.835032967627329,0.835032967627329,"success",NA
