"component","fast_metric","reference_metric","family","setting","case"
3,1.07741568019901,1.07741568019901,"OPLS","north_2","synthetic_regression_p_gt_n_ill_conditioned"
4,0.97634673393828,0.976346733938282,"OPLS","north_2","synthetic_regression_p_gt_n_ill_conditioned"
5,0.973988539827681,0.973988539827647,"OPLS","north_2","synthetic_regression_p_gt_n_ill_conditioned"
1,1.85051343025533,1.85051343025533,"OPLS","north_3","synthetic_regression_p_gt_n_ill_conditioned"
2,1.53188149148568,1.53188149148569,"OPLS","north_3","synthetic_regression_p_gt_n_ill_conditioned"
3,1.41404871713814,1.41404871713814,"OPLS","north_3","synthetic_regression_p_gt_n_ill_conditioned"
4,1.41295715454276,1.41295715454269,"OPLS","north_3","synthetic_regression_p_gt_n_ill_conditioned"
5,1.41147886735075,1.4114788673506,"OPLS","north_3","synthetic_regression_p_gt_n_ill_conditioned"
1,1.88529314707006,1.88529314707006,"kernelPLS","linear","synthetic_regression_p_gt_n_ill_conditioned"
2,1.58496252580466,1.58496252580466,"kernelPLS","linear","synthetic_regression_p_gt_n_ill_conditioned"
3,1.07114525625136,1.07114525625136,"kernelPLS","linear","synthetic_regression_p_gt_n_ill_conditioned"
4,0.822114050557917,0.822114050557918,"kernelPLS","linear","synthetic_regression_p_gt_n_ill_conditioned"
5,0.467713741188857,0.467713741188857,"kernelPLS","linear","synthetic_regression_p_gt_n_ill_conditioned"
1,2.11035091860367,2.11035091860367,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_gt_n_ill_conditioned"
2,1.68117312061909,1.68117312061909,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_gt_n_ill_conditioned"
3,1.24259367728484,1.24259367728484,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_gt_n_ill_conditioned"
4,0.97307251629494,0.97307251629494,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_gt_n_ill_conditioned"
5,0.609871068434778,0.609871068434779,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_gt_n_ill_conditioned"
1,2.11397144938291,2.11397144938291,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_gt_n_ill_conditioned"
2,1.71136835988101,1.71136835988101,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_gt_n_ill_conditioned"
3,1.34436043342602,1.34436043342602,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_gt_n_ill_conditioned"
4,1.19551637788425,1.19551637788425,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_gt_n_ill_conditioned"
5,1.02262945714952,1.02262945714952,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_gt_n_ill_conditioned"
1,2.21052613398353,2.21052613398353,"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_gt_n_ill_conditioned"
2,2.00712879506795,2.00712879506795,"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_gt_n_ill_conditioned"
