"component","fast_metric","reference_metric","family","setting","case"
5,1.27901130853596,1.27901130853629,"kernelPLS","poly_degree4_offset1","gasoline_real_regression"
1,1.59207005998401,1.59207005998401,"kernelPLS","poly_degree3_offset0","gasoline_real_regression"
2,1.49829957789278,1.49829957789278,"kernelPLS","poly_degree3_offset0","gasoline_real_regression"
3,1.3912135109905,1.3912135109905,"kernelPLS","poly_degree3_offset0","gasoline_real_regression"
4,1.39929704768012,1.39929704768008,"kernelPLS","poly_degree3_offset0","gasoline_real_regression"
5,1.24464154815488,1.24464154815493,"kernelPLS","poly_degree3_offset0","gasoline_real_regression"
1,0.8,0.8,"OPLS","north_1","breast_real_classification"
2,0.94,0.94,"OPLS","north_1","breast_real_classification"
3,0.96,0.96,"OPLS","north_1","breast_real_classification"
1,0.8,0.8,"OPLS","north_2","breast_real_classification"
2,0.946666666666667,0.946666666666667,"OPLS","north_2","breast_real_classification"
3,0.953333333333333,0.953333333333333,"OPLS","north_2","breast_real_classification"
1,0.8,0.8,"OPLS","north_3","breast_real_classification"
2,0.933333333333333,0.933333333333333,"OPLS","north_3","breast_real_classification"
3,0.933333333333333,0.933333333333333,"OPLS","north_3","breast_real_classification"
1,0.8,0.8,"kernelPLS","linear","breast_real_classification"
2,0.973333333333333,0.973333333333333,"kernelPLS","linear","breast_real_classification"
3,0.966666666666667,0.966666666666667,"kernelPLS","linear","breast_real_classification"
1,0.793333333333333,0.793333333333333,"kernelPLS","rbf_gamma_0.25_over_p","breast_real_classification"
2,0.933333333333333,0.933333333333333,"kernelPLS","rbf_gamma_0.25_over_p","breast_real_classification"
3,0.973333333333333,0.973333333333333,"kernelPLS","rbf_gamma_0.25_over_p","breast_real_classification"
1,0.793333333333333,0.793333333333333,"kernelPLS","rbf_gamma_1_over_p","breast_real_classification"
2,0.933333333333333,0.933333333333333,"kernelPLS","rbf_gamma_1_over_p","breast_real_classification"
3,0.946666666666667,0.946666666666667,"kernelPLS","rbf_gamma_1_over_p","breast_real_classification"
1,0.753333333333333,0.753333333333333,"kernelPLS","rbf_gamma_4_over_p","breast_real_classification"
2,0.766666666666667,0.766666666666667,"kernelPLS","rbf_gamma_4_over_p","breast_real_classification"
3,0.726666666666667,0.726666666666667,"kernelPLS","rbf_gamma_4_over_p","breast_real_classification"
1,0.8,0.8,"kernelPLS","poly_degree2_offset1","breast_real_classification"
2,0.933333333333333,0.933333333333333,"kernelPLS","poly_degree2_offset1","breast_real_classification"
3,0.966666666666667,0.966666666666667,"kernelPLS","poly_degree2_offset1","breast_real_classification"
1,0.8,0.8,"kernelPLS","poly_degree3_offset1","breast_real_classification"
2,0.893333333333333,0.893333333333333,"kernelPLS","poly_degree3_offset1","breast_real_classification"
3,0.946666666666667,0.946666666666667,"kernelPLS","poly_degree3_offset1","breast_real_classification"
1,0.773333333333333,0.773333333333333,"kernelPLS","poly_degree4_offset1","breast_real_classification"
2,0.786666666666667,0.786666666666667,"kernelPLS","poly_degree4_offset1","breast_real_classification"
3,0.826666666666667,0.826666666666667,"kernelPLS","poly_degree4_offset1","breast_real_classification"
1,0.626666666666667,0.626666666666667,"kernelPLS","poly_degree3_offset0","breast_real_classification"
2,0.653333333333333,0.653333333333333,"kernelPLS","poly_degree3_offset0","breast_real_classification"
3,0.68,0.68,"kernelPLS","poly_degree3_offset0","breast_real_classification"
