"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","folds","fastpls_selected_ncomp","reference_selected_ncomp","selected_component_agreement","maximum_cv_curve_absolute_difference","fastpls_selected_metric","reference_selected_metric","status","error_message","package_version","source_archive_sha256"
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",1,32,5,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok","","0.99.39",NA
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",7,32,5,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok","","0.99.39",NA
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",19,32,5,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok","","0.99.39",NA
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",43,32,5,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok","","0.99.39",NA
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",123,32,5,5,3,3,TRUE,0,0.803500185391175,0.803500185391175,"ok","","0.99.39",NA
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok","","0.99.39",NA
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",1,32,5,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok","","0.99.39",NA
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",7,32,5,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok","","0.99.39",NA
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",19,32,5,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok","","0.99.39",NA
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",43,32,5,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok","","0.99.39",NA
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"rsvd",123,32,5,5,10,10,TRUE,0,0.924452590361846,0.924452590361846,"ok","","0.99.39",NA
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"irlba",NA,NA,NA,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok","","0.99.39",NA
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",1,32,5,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok","","0.99.39",NA
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",7,32,5,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok","","0.99.39",NA
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",19,32,5,5,2,2,TRUE,0,0.540783614901262,0.540783614901262,"ok","","0.99.39",NA
