"source","task_type","prediction_relative_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","metric_absolute_difference"
"real","classification",6.94783193706579e-06,9.94535311450448e-06,0.000882870893478373,0.000867676845518747,0.000910055027218048,0
"synthetic","classification",2.5517452659326e-08,4.91160162260612e-08,2.09130978915187e-06,3.07832465919998e-06,2.56132093875478e-06,0
"real","regression",5.95354051239886e-14,5.33867992975882e-13,1.90909591041642e-06,1.90909591041642e-06,2.09130978915187e-06,2.75387351811318e-17
"synthetic","regression",1.0936962485674e-05,1.12947771309997e-05,0.00143004307773799,0.00145085159863399,0.00140562390137557,1.92168483037491e-06
