"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"39_class_count_100","one_factor","class_count",100,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"sparse_high_class_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,64,7,2000,400,400,100,100,20,4,1,0.30517578125,0.094,0.00750000000000001,0.00700000000000001,0.00350000000000006,0.101,0.0110000000000001,20.1875,252.375,NA,0.427299499511719,NA,NA,1,0,0,3
"40_class_count_200","one_factor","class_count",200,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,4000,800,400,200,200,20,4,1,0.6103515625,0.129,0.0035,0.021,5e-04,0.15,0.003,31.234,288.359,NA,0.860549926757812,0,1,1,0,0,3
"40_class_count_200","one_factor","class_count",200,"classification","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"sparse_high_class_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,64,7,4000,800,400,200,200,20,4,1,0.6103515625,0.405,0.002,0.0210000000000001,0.000499999999999948,0.427,0.002,19.390875,279.969,NA,0.865653991699219,NA,NA,1,0,0,3
"40_class_count_200","one_factor","class_count",200,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"sparse_high_class_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,64,7,4000,800,400,200,200,20,4,1,0.6103515625,0.257,0.006,0.01,0.0010000000000001,0.266,0.00650000000000001,43.843375,301.984,NA,0.806480407714844,NA,NA,1,0,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.234,0.0225,0.026,0.00550000000000005,0.26,0.028,23.906125,264.719,NA,2.12502288818359,0,1,NA,0,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.92,0.0149999999999999,0.0250000000000001,0.001,0.944,0.0155,21.499625,262.859,NA,2.13011169433594,5.10348347011139e-06,0.99999999998698,NA,9.23755238968482e-09,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","cpu_rsvd_explicit","cpu","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.919,0.00299999999999989,0.0249999999999999,0.000999999999999997,0.943,0.00349999999999995,19.265875,266.094,NA,2.13011169433594,5.10348347011139e-06,0.99999999998698,NA,9.23755238968482e-09,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","cpu_rsvd_implicit","cpu","rsvd","implicit","TRUE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,5.165,0.0884999999999998,0.0250000000000004,0.0010000000000003,5.192,0.0884999999999998,4.90674999999999,246.359,NA,2.13040161132812,5.10348347012964e-06,0.999999999986979,NA,9.23755250070712e-09,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.57,0.018,0.00900000000000012,0.00199999999999989,0.583,0.018,54.859375,301,NA,2.34064483642578,5.15519522324446e-06,0.999999999986444,NA,8.45596115350844e-09,0,3
"41_crosscov_mb_2_0","one_factor","crosscov_mb",1.9989013671875,"regression","metal_rsvd_explicit","metal","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,262,NA,20,10,1,1.9989013671875,0.573,0.012,0.0089999999999999,0.000999999999999994,0.581,0.0125,66.297375,317.938,NA,2.34064483642578,5.15519522324446e-06,0.999999999986444,NA,8.45596115350844e-09,0,3
