"split","split_seed","n_inner_train","n_inner_validation","best_ncomp","best_RMSD","best_Q2"
1,123,960,240,100,0.00089858271358744,0.876361640345957
2,456,960,240,75,0.000851809242820451,0.900003080109354
3,789,960,240,25,0.00102066955056004,0.849514940544071
4,1011,960,240,50,0.000839350127385099,0.88435741792234
5,2027,960,240,75,0.000930130381478731,0.87372784874422
