"split","split_seed","ncomp","RMSD","MAE","Q2","fit_time_sec","score_time_sec","status","error"
1,123,1,0.0018800525505673,0.000410901989655206,0.458775942753194,7.339,0.276,"ok",""
1,123,2,0.00146618244128107,0.000334610904283366,0.670835384279317,7.339,0.276,"ok",""
1,123,3,0.00137541406961947,0.00031374655775051,0.710329652435192,7.339,0.278,"ok",""
1,123,5,0.001274802124415,0.00027991212062192,0.751158579210619,7.339,0.286,"ok",""
1,123,10,0.00112796042137072,0.000230007572203337,0.805183903388798,7.339,0.307,"ok",""
1,123,25,0.00101003282111715,0.000188807548507421,0.843790267690342,7.339,0.372,"ok",""
1,123,50,0.000926105332974691,0.000165674422736424,0.868671832166655,7.339,0.480999999999998,"ok",""
1,123,75,0.000913606753085532,0.000158348474292194,0.872192683173288,7.339,0.593,"ok",""
1,123,100,0.00089858271358744,0.000157541985167553,0.876361640345957,7.339,0.702999999999999,"ok",""
1,123,125,0.000923764848377503,0.000162363170220857,0.869334787325614,7.339,0.811,"ok",""
1,123,150,0.000973223413342632,0.000167974894412842,0.85496854227788,7.339,0.923000000000002,"ok",""
1,123,165,0.000992810353561223,0.00016989075201997,0.849072037080251,7.339,0.991000000000003,"ok",""
1,123,175,0.00100065013228561,0.000171969776200193,0.84667900482839,7.339,1.036,"ok",""
1,123,200,0.00104629706045633,0.000178065015605555,0.832371782995256,7.339,1.14,"ok",""
1,123,250,0.00111357806021852,0.000187929267905998,0.810120339314386,7.339,1.365,"ok",""
1,123,300,0.00112445673630253,0.00019342570873461,0.806392304189754,7.339,1.596,"ok",""
2,456,1,0.00180668348517207,0.000406473784803432,0.550151707826735,7.092,0.256,"ok",""
2,456,2,0.0014292998128555,0.000333021411448145,0.718454493512138,7.092,0.257000000000005,"ok",""
2,456,3,0.00133966159203426,0.00031199224533149,0.752661262673688,7.092,0.261000000000003,"ok",""
2,456,5,0.00124536729905913,0.000280276422737014,0.786254567935232,7.092,0.271000000000001,"ok",""
2,456,10,0.00109764032477051,0.000233202052861791,0.83395644086244,7.092,0.296999999999997,"ok",""
2,456,25,0.000933022365739977,0.000188540007385578,0.880026304746476,7.092,0.363,"ok",""
2,456,50,0.000860507106822014,0.000167662641375402,0.897950507434964,7.092,0.466000000000001,"ok",""
2,456,75,0.000851809242820451,0.000161396220126945,0.900003080109354,7.092,0.571999999999996,"ok",""
