"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"metref","kernelpls","lda","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.887005649717514,0.887005649717514,NA,NA,0.320999999999998,0.0670000000000002,0.387999999999998,"ok",NA
"metref","kernelpls","lda","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.858757062146893,0.858757062146893,NA,NA,0.323,0.0670000000000002,0.390000000000001,"ok",NA
"metref","kernelpls","lda","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.88135593220339,0.88135593220339,NA,NA,0.32,0.0679999999999978,0.387999999999998,"ok",NA
"metref","opls","argmax","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.734463276836158,0.734463276836158,NA,0.295079137812681,0.340999999999998,0.0720000000000027,0.413,"ok",NA
"metref","opls","argmax","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.779661016949153,0.779661016949153,NA,0.26994192943652,0.337,0.0729999999999968,0.409999999999997,"ok",NA
"metref","opls","argmax","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.751412429378531,0.751412429378531,NA,0.273284303543277,0.34,0.0710000000000015,0.411000000000001,"ok",NA
"metref","opls","argmax","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.768361581920904,0.768361581920904,NA,0.30248133187356,0.34,0.0719999999999992,0.411999999999999,"ok",NA
"metref","opls","argmax","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.76271186440678,0.76271186440678,NA,0.263144121456905,0.340999999999998,0.0720000000000027,0.413,"ok",NA
"metref","opls","argmax","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.757062146892655,0.757062146892655,NA,0.309842329743787,0.344999999999999,0.0719999999999992,0.416999999999998,"ok",NA
"metref","opls","argmax","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.751412429378531,0.751412429378531,NA,0.270630974349489,0.34,0.0720000000000027,0.412000000000003,"ok",NA
"metref","opls","argmax","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.807909604519774,0.807909604519774,NA,0.31628914875205,0.338999999999999,0.0730000000000004,0.411999999999999,"ok",NA
"metref","opls","argmax","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.728813559322034,0.728813559322034,NA,0.312208105670866,0.342000000000002,0.070999999999998,0.413,"ok",NA
"metref","opls","argmax","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.768361581920904,0.768361581920904,NA,0.300162899656601,0.340999999999998,0.0730000000000004,0.413999999999998,"ok",NA
"metref","opls","lda","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.819209039548023,0.819209039548023,NA,NA,0.346999999999998,0.0730000000000004,0.419999999999998,"ok",NA
"metref","opls","lda","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.870056497175141,0.870056497175141,NA,NA,0.343,0.0740000000000016,0.417000000000002,"ok",NA
"metref","opls","lda","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.88135593220339,0.88135593220339,NA,NA,0.349,0.0740000000000016,0.423000000000002,"ok",NA
"metref","opls","lda","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.864406779661017,0.864406779661017,NA,NA,0.344000000000001,0.0749999999999993,0.419,"ok",NA
"metref","opls","lda","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.80225988700565,0.80225988700565,NA,NA,0.347999999999999,0.0740000000000016,0.422000000000001,"ok",NA
