"dataset","method","classifier","selected_ncomp","count","frequency"
"metref","kernelpls","argmax",22,10,1
"metref","opls","argmax",22,10,1
"metref","plssvd","argmax",20,2,0.2
"metref","plssvd","argmax",21,8,0.8
"metref","simpls","argmax",22,10,1
"metref","kernelpls","lda",22,10,1
"metref","opls","lda",22,10,1
"metref","plssvd","lda",21,10,1
"metref","simpls","lda",22,10,1
