"backend","oversample","power","seeds","checks","passed","failed","max_prediction_relative_error","min_prediction_correlation","min_label_agreement","max_metric_absolute_difference"
"cpu",20,2,5,585,585,0,1.2395238800117e-09,0.999999999999996,1,5.31581077767296e-10
"cuda",20,2,5,40,40,0,6.32518409472841e-06,0.999999999979983,1,3.77691208142128e-07
