"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,"regression","cpu_rsvd_auto","cpu","rsvd","auto","TRUE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,5243,NA,20,10,1,40.0009155273438,44.183,0,0.478999999999999,0,44.662,0,52.99975,512.781,NA,40.5504531860352,1.06888113811137e-05,0.999999999942835,NA,3.73775128625908e-08,0,1
"16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,"regression","cpu_rsvd_explicit","cpu","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,5243,NA,20,10,1,40.0009155273438,16.512,0,0.477,0,16.989,0,102.59325,562.812,NA,40.5501480102539,1.06888113811873e-05,0.999999999942835,NA,3.73775128625908e-08,0,1
"16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,"regression","cpu_rsvd_implicit","cpu","rsvd","implicit","TRUE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,5243,NA,20,10,1,40.0009155273438,25.289,0,0.474999999999998,0,25.764,0,124.343375,587.484,NA,40.5504379272461,1.06888113793332e-05,0.999999999942834,NA,3.73775129736131e-08,0,1
"16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,5243,NA,20,10,1,40.0009155273438,4.568,0,0.0310000000000006,0,4.599,0,377.827875,846.906,NA,41.1407165527344,1.0645015034931e-05,0.999999999943379,NA,3.52083343591048e-08,0,1
"16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,"regression","metal_rsvd_explicit","metal","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,5243,NA,20,10,1,40.0009155273438,2.865,0,0.0300000000000002,0,2.895,0,348.56275,812.844,NA,41.1407012939453,1.06023630465601e-05,0.999999999943736,NA,3.57822346197523e-08,0,1
"16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,"regression","metal_rsvd_implicit","metal","rsvd","implicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,5243,NA,20,10,1,40.0009155273438,2.866,0,0.0340000000000007,0,2.9,0,360.9375,827.25,NA,41.1407012939453,1.06023630465601e-05,0.999999999943736,NA,3.57822346197523e-08,0,1
"01_n_500","one_factor","n",500,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,500,100,400,100,NA,30,20,1,0.30517578125,0.043,0,0.002,0,0.045,0,1.1875,210.125,NA,0.400917053222656,0,1,NA,0,0,1
"01_n_500","one_factor","n",500,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,500,100,400,100,NA,30,20,1,0.30517578125,0.533,0,0.002,0,0.535,0,2.124875,208.328,NA,0.406021118164062,1.45213470111085e-05,0.999999999894447,NA,6.50846160299423e-08,0,1
"01_n_500","one_factor","n",500,"regression","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,500,100,400,100,NA,30,20,1,0.30517578125,0.294,0,0.003,0,0.297,0,26.265625,239.375,NA,0.558418273925781,1.44206686865414e-05,0.999999999895905,NA,5.71982406993854e-08,0,1
"02_n_2000","one_factor","n",2000,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,100,NA,30,20,1,0.30517578125,0.0720000000000001,0,0.005,0,0.0770000000000001,0,14.578,243.328,NA,0.400917053222656,0,1,NA,0,0,1
