"run_id","package_version","source_archive_sha256","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","scenario_id","design_partition","factor_name","factor_value","factor_label","task_type","method","route","backend","svd_method","xprod_requested","xprod_used","precision","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","replicate","data_seed","fit_seed","oversample","power","rsvd_control_profile","rsvd_case_audit_available","rsvd_case_audit_certified","rsvd_deterministic_fallbacks","rsvd_audit_max_attempts","rsvd_effective_oversample","rsvd_effective_power","rsvd_max_triplet_residual","rsvd_max_omitted_direction_ratio","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","process_peak_rss_mb","incremental_peak_rss_mb","gpu_process_peak_mb","gpu_total_baseline_mb","gpu_total_peak_mb","gpu_total_incremental_mb","fit_sec","prediction_sec","total_sec","model_size_mb","input_size_mb","rmsd","q2","accuracy","prediction_relative_error","prediction_correlation","label_agreement","score_relative_error","score_correlation","metric_absolute_difference","numerical_status","status","warnings","error"
"15_crosscov_mb_4_0__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,NA,NA,"high_response_stable",FALSE,NA,NA,NA,48,6,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,258.625,337.859375,337.953125,340.562,81.937,NA,NA,NA,NA,1.041,0.0129999999999999,1.054,4.38153839111328,20.9302520751953,0.822213093547953,0.329467024959616,NA,8.94137768104001e-05,0.999999996006299,NA,NA,NA,1.1208722288103e-06,"within_tolerance","success",NA,NA
"15_crosscov_mb_4_0__metal_rsvd_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","metal_rsvd_explicit","metal","rsvd","explicit",FALSE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,263.015625,336.796875,336.890625,339.219,76.203375,NA,NA,NA,NA,0.842,0.012,0.854,4.38152313232422,20.9302520751953,0.822213095228402,0.329467022218726,NA,8.91675367992891e-05,0.99999999602828,NA,NA,NA,1.11919177991915e-06,"within_tolerance","success",NA,NA
"15_crosscov_mb_4_0__metal_rsvd_implicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","metal_rsvd_implicit","metal","rsvd","implicit",FALSE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,261.46875,334.921875,335.28125,341.203,79.73425,NA,NA,NA,NA,0.84,0.01,0.85,4.38152313232422,20.9302520751953,0.822213095228402,0.329467022218726,NA,8.91675367992891e-05,0.99999999602828,NA,NA,NA,1.11919177991915e-06,"within_tolerance","success",NA,NA
"16_crosscov_mb_40_0__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,463.03125,485.3125,533.859375,566.688,103.65675,NA,NA,NA,NA,4.278,0.475000000000001,4.753,40.5450592041016,85.7358551025391,0.834208611387595,0.315049763192054,NA,0,1,NA,NA,NA,0,"deterministic_reference","success",NA,NA
"16_crosscov_mb_40_0__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","cpu_rsvd_auto","cpu","rsvd","auto",TRUE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,NA,NA,"high_response_stable",FALSE,NA,NA,NA,48,6,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,459.78125,328.9375,418.09375,512.781,52.99975,NA,NA,NA,NA,44.183,0.478999999999999,44.662,40.5504531860352,85.7358551025391,0.834208574010082,0.315049824571751,NA,1.06888113811137e-05,0.999999999942835,NA,NA,NA,3.73775128625908e-08,"within_tolerance","success",NA,NA
"16_crosscov_mb_40_0__cpu_rsvd_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","cpu_rsvd_explicit","cpu","rsvd","explicit",FALSE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,460.21875,492.34375,558.046875,562.812,102.59325,NA,NA,NA,NA,16.512,0.477,16.989,40.5501480102539,85.7358551025391,0.834208574010082,0.31504982457175,NA,1.06888113811873e-05,0.999999999942835,NA,NA,NA,3.73775128625908e-08,"within_tolerance","success",NA,NA
"16_crosscov_mb_40_0__cpu_rsvd_implicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","cpu_rsvd_implicit","cpu","rsvd","implicit",TRUE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,463.140625,551.359375,563.453125,587.484,124.343375,NA,NA,NA,NA,25.289,0.474999999999998,25.764,40.5504379272461,85.7358551025391,0.834208574010082,0.315049824571751,NA,1.06888113793332e-05,0.999999999942834,NA,NA,NA,3.73775129736131e-08,"within_tolerance","success",NA,NA
"16_crosscov_mb_40_0__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,NA,NA,"high_response_stable",FALSE,NA,NA,NA,48,6,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,469.078125,755.921875,774.15625,846.906,377.827875,NA,NA,NA,NA,4.568,0.0310000000000006,4.599,41.1407165527344,85.7358551025391,0.83420857617926,0.315049821009611,NA,1.0645015034931e-05,0.999999999943379,NA,NA,NA,3.52083343591048e-08,"within_tolerance","success",NA,NA
"16_crosscov_mb_40_0__metal_rsvd_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","metal_rsvd_explicit","metal","rsvd","explicit",FALSE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,464.28125,737.46875,783.4375,812.844,348.56275,NA,NA,NA,NA,2.865,0.0300000000000002,2.895,41.1407012939453,85.7358551025391,0.83420857560536,0.315049821951998,NA,1.06023630465601e-05,0.999999999943736,NA,NA,NA,3.57822346197523e-08,"within_tolerance","success",NA,NA
"16_crosscov_mb_40_0__metal_rsvd_implicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","16_crosscov_mb_40_0","one_factor","crosscov_mb",40.0009155273438,40,"regression","simpls","metal_rsvd_implicit","metal","rsvd","implicit",FALSE,"float64",1500,300,1000,5243,NA,20,10,1,40.0009155273438,1,10016,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,466.3125,817.421875,840.90625,827.25,360.9375,NA,NA,NA,NA,2.866,0.0340000000000007,2.9,41.1407012939453,85.7358551025391,0.83420857560536,0.315049821951998,NA,1.06023630465601e-05,0.999999999943736,NA,NA,NA,3.57822346197523e-08,"within_tolerance","success",NA,NA
