"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"11_rank_5__cpu_irlba_explicit__rep1","11_rank_5","rank","one_factor",5,"regression",2000,400,400,100,5,NA,5,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"11_rank_5__cpu_rsvd_auto__rep1","11_rank_5","rank","one_factor",5,"regression",2000,400,400,100,5,NA,5,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"11_rank_5__metal_rsvd_auto__rep1","11_rank_5","rank","one_factor",5,"regression",2000,400,400,100,5,NA,5,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"12_rank_40__cpu_irlba_explicit__rep1","12_rank_40","rank","one_factor",40,"regression",2000,400,400,100,40,NA,5,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"12_rank_40__cpu_rsvd_auto__rep1","12_rank_40","rank","one_factor",40,"regression",2000,400,400,100,40,NA,5,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"12_rank_40__metal_rsvd_auto__rep1","12_rank_40","rank","one_factor",40,"regression",2000,400,400,100,40,NA,5,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"13_class_count_5__cpu_irlba_explicit__rep1","13_class_count_5","class_count","one_factor",5,"classification",2000,400,400,5,20,5,4,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"13_class_count_5__cpu_rsvd_auto__rep1","13_class_count_5","class_count","one_factor",5,"classification",2000,400,400,5,20,5,4,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"13_class_count_5__metal_rsvd_auto__rep1","13_class_count_5","class_count","one_factor",5,"classification",2000,400,400,5,20,5,4,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"14_class_count_50__cpu_irlba_explicit__rep1","14_class_count_50","class_count","one_factor",50,"classification",2000,400,400,50,20,50,4,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"14_class_count_50__cpu_rsvd_auto__rep1","14_class_count_50","class_count","one_factor",50,"classification",2000,400,400,50,20,50,4,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"14_class_count_50__metal_rsvd_auto__rep1","14_class_count_50","class_count","one_factor",50,"classification",2000,400,400,50,20,50,4,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"15_crosscov_mb_4_0__cpu_irlba_explicit__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"15_crosscov_mb_4_0__cpu_rsvd_auto__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"15_crosscov_mb_4_0__cpu_rsvd_explicit__rep1","15_crosscov_mb_4_0","crosscov_mb","one_factor",3.997802734375,"regression",1500,300,1000,524,20,NA,10,1,"cpu_rsvd_explicit","cpu","rsvd","explicit",32,5,1,FALSE
