"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__cbmc_citeseq__simpls__metal__r2","selected_component_backend_panel","cbmc_citeseq","regression","simpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.666,0.0140000000000002,1.68,285.859375,455.625,464.21875,513.625,227.765625,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__metal__r3","selected_component_backend_panel","cbmc_citeseq","regression","simpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.728,0.0150000000000001,1.743,285.78125,454.265625,474.65625,512.1875,226.40625,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","opls","cpu",NA,NA,"rsvd","argmax","float64",48,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.471,0.00700000000000012,0.478,288.15625,466.5,479.765625,479.953125,191.796875,"rmsd",1051.00988214797,NA,0.513140244168143,1051.00988214797,2377795338.13658,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","opls","cpu",NA,NA,"rsvd","argmax","float64",48,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.466,0.006,0.472,291.25,469.609375,482.875,483,191.75,"rmsd",1051.00988214431,NA,0.513140244171533,1051.00988214431,2377795338.13895,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","opls","cpu",NA,NA,"rsvd","argmax","float64",48,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.464,0.006,0.47,289.03125,467.359375,480.625,480.734375,191.703125,"rmsd",1051.00988214453,NA,0.513140244171329,1051.00988214453,2377795338.13893,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__metal__r1","selected_component_backend_panel","cbmc_citeseq","regression","opls","metal","metal","metal","rsvd","argmax","float64",48,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.825,0.0239999999999996,1.849,287.78125,459.578125,495.171875,517.65625,229.875,"rmsd",1051.01003222134,NA,0.513140105131032,1051.01003222134,2377794794.19971,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__metal__r2","selected_component_backend_panel","cbmc_citeseq","regression","opls","metal","metal","metal","rsvd","argmax","float64",48,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.81,0.0260000000000002,1.836,286.8125,452.109375,511.375,518.15625,231.34375,"rmsd",1051.01003222134,NA,0.513140105131032,1051.01003222134,2377794794.19971,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__opls__metal__r3","selected_component_backend_panel","cbmc_citeseq","regression","opls","metal","metal","metal","rsvd","argmax","float64",48,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.699,0.0229999999999997,1.722,290.34375,459.984375,483.140625,515.203125,224.859375,"rmsd",1051.01003222134,NA,0.513140105131032,1051.01003222134,2377794794.19971,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.359,0.00500000000000012,0.364,289.21875,408.234375,414.90625,415.21875,126,"rmsd",1050.86326616619,NA,0.513276068661223,1050.86326616619,2377403560.98199,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__kernelpls__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.354,0.00500000000000012,0.359,287.4375,406.421875,413.09375,413.28125,125.84375,"rmsd",1050.86326616376,NA,0.513276068663474,1050.86326616376,2377403560.98391,8620,"success","","","0.99.39"
