"dataset","task_type","n_train","n_test","p","q","ncomp","method","backend","svd_method","pair","configuration","optimized_value","optimization_applicable","xprod","replicate","fit_time_sec","predict_time_sec","total_time_sec","metric_name","metric_value","rss_before_fit_mb","status","error","fit_window_peak_rss_mb","incremental_peak_rss_mb","prediction_agreement","max_abs_prediction_diff"
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,2,0.029,0.012,0.041,"accuracy",0.647887323943662,194.4375,"success",NA,207.71875,13.28125,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","cached_XtX","xtx_off",FALSE,FALSE,FALSE,3,0.028,0.011,0.039,"accuracy",0.647887323943662,190.21875,"success",NA,205.640625,15.421875,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,1,0.028,0.011,0.039,"accuracy",0.647887323943662,193.21875,"success",NA,202.984375,9.765625,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,2,0.028,0.011,0.039,"accuracy",0.647887323943662,188.3125,"success",NA,202.265625,13.953125,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","cached_XtX","xtx_on",TRUE,FALSE,FALSE,3,0.028,0.012,0.04,"accuracy",0.647887323943662,190.484375,"success",NA,204.296875,13.8125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,1,0.193,0.397,0.59,"accuracy",0.957340025094103,212.484375,"success",NA,353.15625,140.671875,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,2,0.192,0.397,0.589,"accuracy",0.957340025094103,217.984375,"success",NA,354.296875,136.3125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,3,0.202,0.415,0.617,"accuracy",0.957340025094103,219.46875,"success",NA,370.65625,151.1875,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,1,0.192,0.398,0.59,"accuracy",0.957340025094103,215.34375,"success",NA,351.328125,135.984375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,2,0.192,0.397,0.589,"accuracy",0.957340025094103,220.046875,"success",NA,348.28125,128.234375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,3,0.194,0.397,0.591,"accuracy",0.957340025094103,221.296875,"success",NA,361.3125,140.015625,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,1,0.205,0.397,0.602,"accuracy",0.957340025094103,217.640625,"success",NA,355.40625,137.765625,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,2,0.205,0.397,0.602,"accuracy",0.957340025094103,219.015625,"success",NA,347.9375,128.921875,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,3,0.207,0.401,0.608,"accuracy",0.957340025094103,215.765625,"success",NA,372.828125,157.0625,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,1,0.196,0.346,0.542,"accuracy",0.957340025094103,222.671875,"success",NA,339.375,116.703125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,2,0.197,0.347,0.544,"accuracy",0.957340025094103,218.203125,"success",NA,336.953125,118.75,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,3,0.195,0.35,0.545,"accuracy",0.957340025094103,227.09375,"success",NA,345.65625,118.5625,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,1,0.195,0.397,0.592,"accuracy",0.957340025094103,222.53125,"success",NA,354.65625,132.125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,2,0.194,0.397,0.591,"accuracy",0.957340025094103,218.078125,"success",NA,366.203125,148.125,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_deflation_products","deflation_cached",TRUE,TRUE,FALSE,3,0.192,0.396,0.588,"accuracy",0.957340025094103,219,"success",NA,342.484375,123.484375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,1,0.192,0.396,0.588,"accuracy",0.957340025094103,218.1875,"success",NA,345.109375,126.921875,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,2,0.194,0.397,0.591,"accuracy",0.957340025094103,223.671875,"success",NA,377.015625,153.34375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","cached_deflation_products","deflation_inline",FALSE,TRUE,FALSE,3,0.19,0.399,0.589,"accuracy",0.957340025094103,211.203125,"success",NA,360.046875,148.84375,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"simpls","cpu","irlba","matrix_free","explicit_crosscov",FALSE,TRUE,FALSE,1,0.199,0.348,0.547,"accuracy",0.957340025094103,222.15625,"success",NA,350.1875,128.03125,1,NA
