"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"gtex_v8","kernelpls","lda","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,NA,10.441,2.12799999999999,12.569,"ok",NA
"gtex_v8","kernelpls","lda","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.965116279069767,0.965116279069767,NA,NA,10.414,2.13,12.544,"ok",NA
"gtex_v8","kernelpls","lda","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.974160206718346,0.974160206718346,NA,NA,10.312,1.60399999999998,11.916,"ok",NA
"gtex_v8","kernelpls","lda","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.976744186046512,0.976744186046512,NA,NA,10.304,2.11899999999997,12.423,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.962532299741602,0.962532299741602,NA,0.781767416144811,9.464,1.976,11.44,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.965116279069767,0.965116279069767,NA,0.79073529020663,9.49000000000001,1.97200000000001,11.462,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.959948320413437,0.959948320413437,NA,0.786240463676322,9.488,1.95400000000001,11.442,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.962532299741602,0.962532299741602,NA,0.783961059159214,9.48400000000001,1.94499999999999,11.429,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.954780361757106,0.954780361757106,NA,0.773028655398028,9.58099999999999,1.947,11.528,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.962532299741602,0.962532299741602,NA,0.786712033960597,9.48800000000003,1.94199999999998,11.43,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.957364341085271,0.957364341085271,NA,0.784029609080447,9.58100000000002,1.95599999999999,11.537,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.959948320413437,0.959948320413437,NA,0.785375928161622,9.495,1.94799999999998,11.443,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,0.796464840134943,9.53999999999999,1.95700000000002,11.497,"ok",NA
"gtex_v8","opls","argmax","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.965116279069767,0.965116279069767,NA,0.784609156535167,9.517,1.96700000000001,11.484,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.978036175710594,0.978036175710594,NA,NA,11.017,2.233,13.25,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.972868217054264,0.972868217054264,NA,NA,13.192,2.78899999999999,15.981,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.974160206718346,0.974160206718346,NA,NA,13.719,3.07900000000001,16.798,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,NA,12.336,2.06899999999999,14.405,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.970284237726098,0.970284237726098,NA,NA,11.088,2.309,13.397,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.974160206718346,0.974160206718346,NA,NA,13.152,2.83599999999998,15.988,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.967700258397933,0.967700258397933,NA,NA,12.548,2.43600000000001,14.984,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,NA,11.401,2.35000000000002,13.751,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.979328165374677,0.979328165374677,NA,NA,11.355,2.39500000000004,13.7500000000001,"ok",NA
"gtex_v8","opls","lda","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.976744186046512,0.976744186046512,NA,NA,11.951,2.30599999999998,14.2569999999999,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.945736434108527,0.945736434108527,NA,0.723832887081644,0.692,0.146,0.838,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.949612403100775,0.949612403100775,NA,0.733950083954684,0.716,0.143,0.859,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.941860465116279,0.941860465116279,NA,0.735502031963881,0.684,0.14,0.824,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.940568475452196,0.940568475452196,NA,0.731639015643662,0.684,0.141,0.825,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.926356589147287,0.926356589147287,NA,0.718878144674274,0.686,0.143,0.829,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.94702842377261,0.94702842377261,NA,0.731898618969821,0.688,0.141,0.829,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.941860465116279,0.941860465116279,NA,0.731691999018589,0.686,0.141,0.827,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.944444444444444,0.944444444444444,NA,0.729841382225857,0.686000000000001,0.141,0.827000000000001,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.94702842377261,0.94702842377261,NA,0.741519602840262,0.689,0.155000000000001,0.844000000000001,"ok",NA
"gtex_v8","plssvd","argmax","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.943152454780362,0.943152454780362,NA,0.722815359561554,0.744,0.148,0.892,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.965116279069767,0.965116279069767,NA,NA,0.827,0.197,1.024,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.961240310077519,0.961240310077519,NA,NA,0.672,0.193,0.865,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.957364341085271,0.957364341085271,NA,NA,0.671,0.192,0.863,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.95219638242894,0.95219638242894,NA,NA,0.680000000000001,0.198,0.878000000000001,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.949612403100775,0.949612403100775,NA,NA,0.67,0.193,0.863,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.968992248062015,0.968992248062015,NA,NA,0.667000000000001,0.206,0.873000000000001,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.956072351421189,0.956072351421189,NA,NA,0.675999999999999,0.196,0.871999999999999,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.956072351421189,0.956072351421189,NA,NA,0.672000000000001,0.198,0.870000000000001,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.96640826873385,0.96640826873385,NA,NA,0.667,0.195,0.862,"ok",NA
"gtex_v8","plssvd","lda","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;31","2;5;10;20;31",2,31,2,31,31,FALSE,TRUE,TRUE,"accuracy",0.959948320413437,0.959948320413437,NA,NA,0.696000000000002,0.194000000000001,0.890000000000002,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.968992248062015,0.968992248062015,NA,0.8086807123958,8.606,1.819,10.425,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,0.811148000035023,8.6,1.749,10.349,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.959948320413437,0.959948320413437,NA,0.806480335069254,8.626,1.755,10.381,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.965116279069767,0.965116279069767,NA,0.806275641211446,8.686,1.773,10.459,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.954780361757106,0.954780361757106,NA,0.797838243795528,8.71899999999999,1.774,10.493,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.963824289405685,0.963824289405685,NA,0.813189376514594,8.77199999999999,1.78099999999999,10.553,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.958656330749354,0.958656330749354,NA,0.807356565065885,8.923,1.79899999999999,10.722,"ok",NA
"gtex_v8","simpls","argmax","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.959948320413437,0.959948320413437,NA,0.809336798041382,8.85300000000001,1.797,10.65,"ok",NA
