dataset,train_n,test_n,p,q,method,solver,backend,classifier,precision,ncomp_requested,ncomp_effective,oversample,power,control_profile,effective_oversample,effective_power,seed,replicate,fit_time_sec,fit_predict_time_sec,top5_prediction_time_sec,total_time_sec,top1_accuracy,top5_accuracy,balanced_accuracy,macro_f1,rss_before_data_mb,rss_before_fit_mb,rss_after_fit_mb,rss_after_top5_mb,gpu_before_fit_mb,gpu_after_fit_mb,gpu_after_top5_mb,gpu_peak_mb,gpu_incremental_peak_mb,process_peak_rss_mb,incremental_peak_rss_mb,executed_estimator,prediction_backend,classifier_train_backend,model_gpu_resident,fit_residency,prediction_residency,audit_status,loaded_package_path,loaded_package_version,status,error
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,100,100,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.779550943033855,0.927615972002404,0.779164707230017,0.778844221971938,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,200,200,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.790469720842062,0.931894567996956,0.790191787722533,0.79106753511797,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,300,300,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.795196449085419,0.933413238395687,0.794933033644696,0.796543134092715,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,400,400,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.798183997410791,0.933854257434194,0.797956623468883,0.800116607108379,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,500,500,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.800659394594672,0.934387748206582,0.800431382409805,0.802944511694112,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,600,600,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.803049433254969,0.935458286356507,0.80285605680706,0.805571808459965,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,700,700,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.805172726529073,0.936649749081507,0.804973401000847,0.807833979474653,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,800,800,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.807007934786088,0.937844768411656,0.806797198868734,0.80963444464125,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,900,900,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.808537275000267,0.938744589514417,0.808323513366206,0.811112328684802,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,lda,float32,1000,1000,,,ordinary_fast,32,5,123,1,999.249,999.249,139.211,1138.46,0.809454879128774,0.939242514235312,0.809227695505933,0.812049296032661,354.6796875,5411.56640625,13417.5234375,16077.296875,829,4912,4946,4956.000000,4127.000000,17229.031250,16874.351562,simpls,float32_cuda,float32_cuda_lda,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
