"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error"
"matched_shape__high_response__plssvd__cpu__r2__s102","matched_shape_family","synthetic_high_response","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,1000,250,300,500,102,2,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.294,0.0139999999999999,0.308,252.40625,253.25,253.34375,NA,NA,"rmsd",2.11946829958865,NA,0.770168519179144,2.11946829958865,61256.8385826235,125000,"success","",""
"matched_shape__high_response__plssvd__cpu__r3__s103","matched_shape_family","synthetic_high_response","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,1000,250,300,500,103,3,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.294,0.0139999999999999,0.308,245.6875,250.359375,250.46875,NA,NA,"rmsd",2.12124213774836,NA,0.769783654303675,2.12124213774836,57942.0006037116,125000,"success","",""
"matched_shape__high_response__simpls__cpu__r1__s101","matched_shape_family","synthetic_high_response","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,1000,250,300,500,101,1,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.048,0.0140000000000002,2.062,244.09375,253.234375,255.28125,NA,NA,"rmsd",0.884858447491284,NA,0.959940708192478,0.884858447491284,192870.780859427,125000,"success","",""
"matched_shape__high_response__simpls__cpu__r2__s102","matched_shape_family","synthetic_high_response","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,1000,250,300,500,102,2,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.04,0.0129999999999999,2.053,247.125,254.046875,254.296875,NA,NA,"rmsd",0.884858447491285,NA,0.959940708192477,0.884858447491285,192870.780859725,125000,"success","",""
"matched_shape__high_response__simpls__cpu__r3__s103","matched_shape_family","synthetic_high_response","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,1000,250,300,500,103,3,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.041,0.0129999999999999,2.054,244.671875,258.8125,258.9375,NA,NA,"rmsd",0.884858447491231,NA,0.959940708192483,0.884858447491231,192870.780860104,125000,"success","",""
"matched_shape__balanced__plssvd__cpu__r1__s101","matched_shape_family","synthetic_balanced","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,5000,1000,500,50,101,1,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.189,0.00900000000000001,0.198,300.234375,301.265625,301.390625,NA,NA,"rmsd",1.3572505287504,NA,0.908184921018765,1.3572505287504,-73389.4695739389,50000,"success","",""
"matched_shape__balanced__plssvd__cpu__r2__s102","matched_shape_family","synthetic_balanced","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,5000,1000,500,50,102,2,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.188,0.00800000000000001,0.196,297.8125,301.234375,301.390625,NA,NA,"rmsd",1.3572505287504,NA,0.908184921018765,1.3572505287504,-73389.4695739389,50000,"success","",""
"matched_shape__balanced__plssvd__cpu__r3__s103","matched_shape_family","synthetic_balanced","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,5000,1000,500,50,103,3,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.188,0.00900000000000001,0.197,291.046875,294.125,298.046875,NA,NA,"rmsd",1.3572505287504,NA,0.908184921018765,1.3572505287504,-73389.4695739389,50000,"success","",""
"matched_shape__balanced__simpls__cpu__r1__s101","matched_shape_family","synthetic_balanced","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,5000,1000,500,50,101,1,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.948,0.0089999999999999,0.957,290.71875,298.484375,302.5,NA,NA,"rmsd",0.340930370189129,NA,0.994206708875687,0.340930370189129,-168564.574661529,50000,"success","",""
"matched_shape__balanced__simpls__cpu__r2__s102","matched_shape_family","synthetic_balanced","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,5000,1000,500,50,102,2,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.941,0.0089999999999999,0.95,293.34375,296.484375,296.640625,NA,NA,"rmsd",0.340930370189943,NA,0.99420670887566,0.340930370189943,-168564.57467813,50000,"success","",""
"matched_shape__balanced__simpls__cpu__r3__s103","matched_shape_family","synthetic_balanced","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",50,5000,1000,500,50,103,3,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.944,0.0089999999999999,0.953,290.46875,295.4375,299.375,NA,NA,"rmsd",0.34093037019017,NA,0.994206708875652,0.34093037019017,-168564.57466862,50000,"success","",""
"matched_shape__high_components__plssvd__cpu__r1__s101","matched_shape_family","synthetic_high_components","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,600,768,200,101,1,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.879,0.03,0.909,289.09375,294.421875,298.203125,NA,NA,"rmsd",2.00636865153548,NA,0.79582127801991,2.00636865153548,2020831.89206001,120000,"success","",""
"matched_shape__high_components__plssvd__cpu__r2__s102","matched_shape_family","synthetic_high_components","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,600,768,200,102,2,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.881,0.0290000000000001,0.91,286.109375,292.75,297.453125,NA,NA,"rmsd",2.00626268635856,NA,0.795842844607928,2.00626268635856,2012341.2801906,120000,"success","",""
"matched_shape__high_components__plssvd__cpu__r3__s103","matched_shape_family","synthetic_high_components","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,600,768,200,103,3,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.884,0.03,0.914,292.4375,299.515625,301.578125,NA,NA,"rmsd",2.00651142462791,NA,0.79579221829081,2.00651142462791,2020795.94741795,120000,"success","",""
"matched_shape__high_components__simpls__cpu__r1__s101","matched_shape_family","synthetic_high_components","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,600,768,200,101,1,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,4.956,0.0289999999999999,4.985,274.890625,305.078125,309.625,NA,NA,"rmsd",0.287640811356534,NA,0.995803472975842,0.287640811356534,2079171.62320195,120000,"success","",""
"matched_shape__high_components__simpls__cpu__r2__s102","matched_shape_family","synthetic_high_components","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,600,768,200,102,2,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,4.976,0.0300000000000002,5.006,282.65625,310.03125,313.875,NA,NA,"rmsd",0.287640125085248,NA,0.995803493000487,0.287640125085248,2079133.65150032,120000,"success","",""
"matched_shape__high_components__simpls__cpu__r3__s103","matched_shape_family","synthetic_high_components","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,600,768,200,103,3,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,4.953,0.0289999999999999,4.982,284.96875,304.484375,312.71875,NA,NA,"rmsd",0.287639738523921,NA,0.995803504279902,0.287639738523921,2079175.0161856,120000,"success","",""
