"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.105,0.004,0.109,290.953125,351.046875,357.71875,357.765625,66.8125,"rmsd",1204.05930120707,NA,0.361021814491487,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.113,0.005,0.118,285.09375,345.15625,351.828125,351.875,66.78125,"rmsd",1204.05930120707,NA,0.361021814491487,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.108,0.005,0.113,288.65625,348.71875,355.390625,355.4375,66.78125,"rmsd",1204.05930120707,NA,0.361021814491487,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__metal__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",2,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.265,0.016,0.281,288.59375,381.140625,375.109375,443.453125,154.859375,"rmsd",1204.05936892198,NA,0.361021742620682,1204.05936892198,2437913739.05305,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__metal__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",2,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.209,0.0129999999999999,0.222,283.375,410.4375,436.765625,469.40625,186.03125,"rmsd",1204.05936892198,NA,0.361021742620682,1204.05936892198,2437913739.05305,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__metal__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",2,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.203,0.0139999999999999,0.217,293.21875,420.9375,440.71875,480.046875,186.828125,"rmsd",1204.05936892198,NA,0.361021742620682,1204.05936892198,2437913739.05305,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__metal__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",2,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.207,0.015,0.222,287.171875,414.046875,433.84375,454.34375,167.171875,"rmsd",1204.05936892198,NA,0.361021742620682,1204.05936892198,2437913739.05305,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__metal__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",2,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.202,0.013,0.215,291.515625,418.390625,444.71875,450.609375,159.09375,"rmsd",1204.05936892198,NA,0.361021742620682,1204.05936892198,2437913739.05305,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.115,0.005,0.12,289.390625,349.484375,356.15625,356.21875,66.828125,"rmsd",1092.52684370828,NA,0.473916705824901,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k5__cpu__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",5,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.116,0.005,0.121,284.75,344.84375,351.515625,351.609375,66.859375,"rmsd",1092.52684370828,NA,0.473916705824901,1092.52684370828,2374186874.65415,8620,"success","","","0.99.39"
