"label","family","backend","solver","ncomp","control_profile","oversample","power","seed","RMSD","Q2","total_time_sec","total_time_iqr","incremental_peak_rss_mib"
"Deposited PLS-SVD","plssvd","cpu","irlba",165,NA,NA,NA,NA,0.000785805624931116,0.861732507713659,457.511,0.721499999999992,3747.96875
"PLS-SVD CPU / IRLBA","plssvd","cpu","irlba",165,NA,NA,NA,123,0.00078580068916285,0.861734244667775,374.634,0.339000000000055,3440.421875
"PLS-SVD CPU / rSVD","plssvd","cpu","rsvd",165,"not_applicable",32,5,123,0.000785690109401202,0.86177315610855,89.942,0.264500000000012,914.18359375
"PLS-SVD CUDA / rSVD","plssvd","cuda","rsvd",165,"not_applicable",32,5,123,0.00078576988449367,0.861745084941718,1.488,0.137,916.5625
"PLS-SVD Metal / rSVD","plssvd","metal","rsvd",165,"not_applicable",32,5,123,0.000785889330245485,0.861703049180974,22.421,0.335499999999996,973.9375
"SIMPLS CPU / IRLBA","simpls","cpu","irlba",165,NA,NA,NA,123,0.00098332140400422,0.78348858171851,2381.772,10.386,3712.31640625
"SIMPLS CPU / rSVD","simpls","cpu","rsvd",165,"massive_fast",12,2,123,0.000969675749826014,0.789455990525451,31.536,0.621499999999997,312.2578125
"SIMPLS CUDA / rSVD","simpls","cuda","rsvd",165,"massive_fast",12,2,123,0.000940052636635841,0.802123525771617,4.29,0.108,934.1015625
"SIMPLS Metal / rSVD","simpls","metal","rsvd",165,"massive_fast",12,2,123,0.000937639843224474,0.803137984597672,6.024,0.0490000000000004,469.640625
